Control #,CYCLEDATE,ASOFDATE,REPORTDATE,PAYOFFUID,LOANID,ACCOUNTID,PORTFOLIOID,PORTFOLIONAME,PROGRAMID,EXECUTIONDATE,ORIGINATIONDATE,INDIRECT_PURCHASEDATE,MATURITYDATE,LOANAMOUNT,TERM,INTERESTRATE,APR,ORIGINATIONFEE,INDIRECT_LENDERORIGINATIONFEE,LENDERFUNDINGAMOUNT,INDIRECT_AMOUNTORIGINATIONINTEREST,PREMIUMPRICE,PREMIUMPAID,TENANTNAME,CHANNEL,LOANPURPOSE,LOANTIER,CPVERSION,APPLICANTRESIDENCESTATE,EMPLOYMENTSTATUS,HOUSINGINFORMATION,ANNUALINCOME,BUREAUSCORE,BUREAUSCORETYPE,NDI,DTI,APPMOSSINCEDEROGPUBREC,MLAFLAG,REFRESHEDBUREAUSCORE,REFRESHEDBUREAUSCOREDATE,AGEINMONTHS,FIRSTSCHEDULEDPAYMENTDATE,PAYMENTFREQUENCY,PAYMENTANNIVERSARYDAY,REGULARPAYMENTAMOUNT,LASTPAYMENTDATE,LASTPAYMENTAMOUNT,ACCRUEDINTEREST,BEGINNINGBALANCE,INTERESTPAYMENTAMOUNT,PRINCIPALPAYMENTAMOUNT,RECOVERYPAYMENTAMOUNT,TOTALPAYMENTCOLLECTED,REMAININGPRINCIPAL,SERVICINGFEEAMOUNT,REMITTANCEAMOUNT,INTERESTPAIDTODATE,PRINCIPALPAIDTODATE,RECOVERIESPAIDTODATE,TERMSREMAINING,CURRENTMATURITYDATE,TOTALPRINCIPALWAIVED,NEXTPAYMENTDUEDATE,NEXTPRINCIPALAMOUNTDUE,NEXTINTERESTAMOUNTDUE,SERVICERFEERATE,ANCILLARYFEES,NETPREMIUM,SECONDARY_BUYER,SECONDARY_SELLER,SECONDARY_PURCHASEDATE,SECONDARY_SOLDDATE,LOANCLOSEDDATE,Status,DAYSPASTDUE,PASTDUEINTEREST,CHARGEOFFDATE,PRINCIPALBALANCEATCHARGEOFF,INTERESTBALANCEATCHARGEOFF,LASTCOLLECTIONSCONTACTDATE,REASONFORDELINQUENCY,BANKRUPTCYFLAG,BANKRUPTCYDATE,BANKRUPTCYCHAPTER,MODFLAG,PREVIOUSMODIFICATION,MODREQUESTDATE,STATUSPRIORTOMODIFICATION,LOANBALANCEATMODIFICATION,MODREASON,MODTYPE,MODSTARTDATE,MODENDDATE,MODPROCESSINGDATE,MODMATURITYDATE,MODINTERESTRATE,MODPAYMENTAMOUNT,NUMBERPAYMENTSDEFERRED,PAYMENTFORBEARANCEAMOUNT,BALLOONPAYMENT,MODTERMEXTENSION,SCRAFLAG,SCRASTARTDATE,SCRAENDDATE,CPDFLAG
11,6/1/25,6/30/25,6/30/25,ee7efa74-94ce-4104-bd2a-605f7663c2e6,HM605F7663C2E6,319850,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,5/22/25,5/28/25,6/4/25,5/28/29,11000,48,0.2505,29.322,742.5,0,10257.5,52.85,-3.5,-385,Happy Money,Affiliates,Debt Consolidation,T6,7.5,PA,Full Time,Own,130000,682,FICO,6350.9,0.109,-4,N,,,1,6/28/25,Monthly,28,365.04,6/28/25,365.3,14.92,11000,234.03,131.27,0,365.3,10868.73,9.03,356.27,234.03,131.27,0,47,5/28/29,0,7/28/25,,,1.00%,0,-385,,CRB_FORTRESS,6/4/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
12,6/1/25,6/30/25,6/30/25,882853ac-6f89-4645-84a3-a07ffa6899ab,HMA07FFA6899AB,159850,56,Fortress,,4/23/25,4/28/25,5/7/25,4/28/27,11500,24,0.1532,22.026,718.75,0,10781.25,43.44,-3.5,-402.5,Happy Money,Unattributed,Debt Consolidation,T4,7.4,CO,Full Time,Rent,70000,733,FICO,2717.56,0.257,-4,N,,,2,5/28/25,Monthly,28,559.35,6/28/25,559.45,8.96,11085.36,144.24,415.21,0,559.45,10670.15,9.08,550.37,289.05,829.85,0,22,4/28/27,0,7/28/25,,,1.00%,0,-402.5,,CRB_FORTRESS,5/7/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
13,6/1/25,6/30/25,6/30/25,99672f26-62da-43e8-8f33-3fe3ce0fed5c,HM3FE3CE0FED5C,244545,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,4/30/25,5/5/25,5/21/25,5/5/28,28500,36,0.1845,24.014,2066.25,0,26433.75,230.5,-3.5,-997.5,Happy Money,Unattributed,Debt Consolidation,T4,7.5,CO,Full Time,Rent,51280,645,FICO,1898.13,0.314,-4,N,,,1,6/5/25,Monthly,5,1036.79,5/27/25,1037.27,477.42,27779.67,0,0,0,0,27779.67,22.83,-22.83,316.94,720.33,0,35,5/5/28,0,7/5/25,,,1.00%,0,-997.5,,CRB_FORTRESS,5/21/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
14,6/1/25,6/30/25,6/30/25,9506dfa7-c07a-4eed-aa8e-25c69b9186e6,HM25C69B9186E6,319554,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,5/13/25,5/16/25,6/4/25,5/16/28,16000,36,0.1956,25.983,1320,0,14680,162.91,-3.5,-560,Happy Money,Affiliates,core,T5,7.5,FL,Full Time,Rent,80000,693,FICO,3476.9,0.236,-4,N,,,1,6/16/25,Monthly,16,591.04,6/18/25,591.33,97.1,16000,282.6,900.06,0,1182.66,15099.94,12.81,1169.85,282.6,900.06,0,35,5/16/28,0,8/16/25,,,1.00%,0,-560,,CRB_FORTRESS,6/4/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
15,6/1/25,6/30/25,6/30/25,30759e84-4055-4033-96a6-04abff4c1be7,HM04ABFF4C1BE7,281222,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,5/5/25,5/8/25,5/21/25,5/8/28,20000,36,0.205,26.754,1600,0,18400,146.03,-3.5,-700,Happy Money,Affiliates,Debt Consolidation,T5,7.4,NJ,Full Time,Rent,90000,648,FICO,3431.27,0.252,53,N,,,1,6/8/25,Monthly,8,748.38,6/20/25,748.76,110.84,20000,483.01,265.75,0,748.76,19734.25,16.33,732.43,483.01,265.75,0,35,5/15/28,0,7/15/25,,,1.00%,0,-700,,CRB_FORTRESS,5/21/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,Y
16,6/1/25,6/30/25,6/30/25,d95b9512-899a-43f0-baaf-dd4d8d03eade,HMDD4D8D03EADE,001a60000050DVYAA2,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,5/13/25,5/16/25,6/4/25,5/16/27,14000,24,0.1457,21.272,875,0,13125,106.18,-3.5,-490,Happy Money,Unattributed,Debt Consolidation,T4,7.5,AK,Full Time,Own,104600,710,FICO,4163.22,0.278,-4,N,,,1,6/16/25,Monthly,16,675.96,6/20/25,676.19,51.25,14000,192.47,1159.91,0,1352.38,12840.09,10.94,1341.44,192.47,1159.91,0,23,5/20/27,0,8/20/25,,,1.00%,0,-490,,CRB_FORTRESS,6/4/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,Y
17,6/1/25,6/30/25,6/30/25,5b2ebd0e-ef1b-4c2b-9daf-7446c5919d99,HM7446C5919D99,319464,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,5/10/25,5/14/25,5/21/25,5/14/28,9000,36,0.1956,25.982,742.5,0,8257.5,33.76,-3.5,-315,Happy Money,Affiliates,Debt Consolidation,T5,7.5,CO,Full Time,Own,83000,686,FICO,2504.03,0.346,-4,N,,,1,6/14/25,Monthly,14,332.46,6/14/25,332.62,75.6,9000,149.51,183.11,0,332.62,8816.89,7.31,325.31,149.51,183.11,0,35,5/14/28,0,7/14/25,,,1.00%,0,-315,,CRB_FORTRESS,5/21/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
18,6/1/25,6/30/25,6/30/25,57dd3811-b5be-4548-8363-e61fde9a3065,HME61FDE9A3065,200669,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,4/28/25,5/1/25,5/21/25,5/1/30,30000,60,0.215,26.763,3000,0,27000,353.42,-3.5,-1050,Happy Money,Affiliates,Debt Consolidation,T4,7.5,FL,Full Time,Rent,97000,694,FICO,2513.02,0.432,-4,N,,,1,6/1/25,Monthly,1,820.06,6/1/25,820.63,507.81,30000,547.81,272.82,0,820.63,29727.18,24.44,796.19,547.81,272.82,0,59,5/1/30,0,7/1/25,,,1.00%,0,-1050,,CRB_FORTRESS,5/21/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
19,6/1/25,6/30/25,6/30/25,42779e29-f9d8-4678-8d8c-93986dd69818,HM93986DD69818,0012M00002TBpdYQAT,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,5/2/25,5/7/25,5/21/25,5/7/28,15000,36,0.182,23.755,1087.5,0,13912.5,104.71,-3.5,-525,Happy Money,Unattributed,Debt Consolidation,T4,7.5,FL,Full Time,Rent,108000,724,FICO,3047.52,0.395,-4,N,,,1,6/7/25,Monthly,7,543.79,6/7/25,544.04,168.45,15000,231.86,312.18,0,544.04,14687.82,12.12,531.92,231.86,312.18,0,35,5/7/28,0,7/7/25,,,1.00%,0,-525,,CRB_FORTRESS,5/21/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
20,6/1/25,6/30/25,6/30/25,ce65c709-9b64-4998-a57b-1173015c3daf,HM1173015C3DAF,319928,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,5/23/25,5/29/25,6/18/25,5/29/28,30000,36,0.196,26.022,2475,0,27525,322.19,-3.5,-1050,Happy Money,Affiliates,core,T5,7.5,NC,Full Time,Own,100000,704,FICO,2237.53,0.443,-4,N,,,1,6/29/25,Monthly,29,1108.8,6/29/25,1109.32,15.78,30000,499.4,609.92,0,1109.32,29390.08,24.63,1084.69,499.4,609.92,0,35,5/29/28,0,7/29/25,,,1.00%,0,-1050,,CRB_FORTRESS,6/18/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
