Control #,CYCLEDATE,ASOFDATE,REPORTDATE,PAYOFFUID,LOANID,ACCOUNTID,PORTFOLIOID,PORTFOLIONAME,PROGRAMID,EXECUTIONDATE,ORIGINATIONDATE,INDIRECT_PURCHASEDATE,MATURITYDATE,LOANAMOUNT,TERM,INTERESTRATE,APR,ORIGINATIONFEE,INDIRECT_LENDERORIGINATIONFEE,LENDERFUNDINGAMOUNT,INDIRECT_AMOUNTORIGINATIONINTEREST,PREMIUMPRICE,PREMIUMPAID,TENANTNAME,CHANNEL,LOANPURPOSE,LOANTIER,CPVERSION,APPLICANTRESIDENCESTATE,EMPLOYMENTSTATUS,HOUSINGINFORMATION,ANNUALINCOME,BUREAUSCORE,BUREAUSCORETYPE,NDI,DTI,APPMOSSINCEDEROGPUBREC,MLAFLAG,REFRESHEDBUREAUSCORE,REFRESHEDBUREAUSCOREDATE,AGEINMONTHS,FIRSTSCHEDULEDPAYMENTDATE,PAYMENTFREQUENCY,PAYMENTANNIVERSARYDAY,REGULARPAYMENTAMOUNT,LASTPAYMENTDATE,LASTPAYMENTAMOUNT,ACCRUEDINTEREST,BEGINNINGBALANCE,INTERESTPAYMENTAMOUNT,PRINCIPALPAYMENTAMOUNT,RECOVERYPAYMENTAMOUNT,TOTALPAYMENTCOLLECTED,REMAININGPRINCIPAL,SERVICINGFEEAMOUNT,REMITTANCEAMOUNT,INTERESTPAIDTODATE,PRINCIPALPAIDTODATE,RECOVERIESPAIDTODATE,TERMSREMAINING,CURRENTMATURITYDATE,TOTALPRINCIPALWAIVED,NEXTPAYMENTDUEDATE,NEXTPRINCIPALAMOUNTDUE,NEXTINTERESTAMOUNTDUE,SERVICERFEERATE,ANCILLARYFEES,NETPREMIUM,SECONDARY_BUYER,SECONDARY_SELLER,SECONDARY_PURCHASEDATE,SECONDARY_SOLDDATE,LOANCLOSEDDATE,Status,DAYSPASTDUE,PASTDUEINTEREST,CHARGEOFFDATE,PRINCIPALBALANCEATCHARGEOFF,INTERESTBALANCEATCHARGEOFF,LASTCOLLECTIONSCONTACTDATE,REASONFORDELINQUENCY,BANKRUPTCYFLAG,BANKRUPTCYDATE,BANKRUPTCYCHAPTER,MODFLAG,PREVIOUSMODIFICATION,MODREQUESTDATE,STATUSPRIORTOMODIFICATION,LOANBALANCEATMODIFICATION,MODREASON,MODTYPE,MODSTARTDATE,MODENDDATE,MODPROCESSINGDATE,MODMATURITYDATE,MODINTERESTRATE,MODPAYMENTAMOUNT,NUMBERPAYMENTSDEFERRED,PAYMENTFORBEARANCEAMOUNT,BALLOONPAYMENT,MODTERMEXTENSION,SCRAFLAG,SCRASTARTDATE,SCRAENDDATE,CPDFLAG
21,6/1/25,6/30/25,6/30/25,19bc03ac-cc9a-44d1-84a2-e37d18ef869a,HME37D18EF869A,0012M00002TBC0gQAH,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,5/5/25,5/8/25,5/21/25,5/8/30,25000,60,0.2265,27.978,2500,0,22500,201.68,-3.5,-875,Happy Money,Unattributed,Debt Consolidation,T5,7.5,CA,Full Time,Other,42400,673,FICO,1942.8,0.247,-4,N,,,1,6/8/25,Monthly,8,699.74,6/25/25,700.25,121.98,25000,700.25,0,0,700.25,25000,20.55,679.7,700.25,0,0,60,5/30/30,0,7/30/25,,,1.00%,0,-875,,CRB_FORTRESS,5/21/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,Y
22,6/1/25,6/30/25,6/30/25,a814367a-7bf0-4616-9723-c5df842fb09c,HMC5DF842FB09C,118246,56,Fortress,,4/14/25,4/17/25,5/7/25,4/17/30,23500,60,0.1985,24.458,2115,0,21385,255.6,-3.5,-822.5,Happy Money,Search,Debt Consolidation,T3,7.4,CO,Full Time,Own,50000,756,FICO,1872.23,0.312,-4,N,,,2,5/17/25,Monthly,17,620.65,6/21/25,620.9,113,23415.86,292.89,328.01,0,620.9,23087.85,19.16,601.74,829.65,412.15,0,58,4/17/30,0,7/17/25,,,1.00%,0,-822.5,,CRB_FORTRESS,5/7/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
23,6/1/25,6/30/25,6/30/25,f763031a-0dc7-4a53-a5c2-c11453544d74,HMC11453544D74,266930,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,5/4/25,5/7/25,5/21/25,5/7/28,28500,36,0.1845,24.014,2066.25,0,26433.75,201.69,-3.5,-997.5,Happy Money,Affiliates,Debt Consolidation,T4,7.5,WA,Full Time,Rent,75000,670,FICO,2020.27,0.44,-4,N,,,1,6/7/25,Monthly,7,1036.79,6/5/25,1037.27,352.32,28500,417.78,619.49,0,1037.27,27880.51,22.99,1014.28,417.78,619.49,0,35,5/7/28,0,7/7/25,,,1.00%,0,-997.5,,CRB_FORTRESS,5/21/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
24,6/1/25,6/30/25,6/30/25,874829a0-48cb-4643-ba86-526a2a00dbf5,HM526A2A00DBF5,266921,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,5/2/25,5/7/25,5/21/25,5/7/30,20000,60,0.2025,25.443,2000,0,18000,155.34,-3.5,-700,Happy Money,Affiliates,Debt Consolidation,T4,7.5,KY,Full Time,Living with Family/Friends,78000,697,FICO,2038.55,0.394,-4,N,,,1,6/7/25,Monthly,7,532.66,6/7/25,533.01,252.79,20000,343.97,189.04,0,533.01,19810.96,16.32,516.69,343.97,189.04,0,59,5/7/30,0,7/7/25,,,1.00%,0,-700,,CRB_FORTRESS,5/21/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
25,6/1/25,6/30/25,6/30/25,5933c20d-6f64-454d-bdec-257d1ca22cb5,HM257D1CA22CB5,244548,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,4/30/25,5/5/25,5/21/25,5/5/27,7000,24,0.2025,29.16,560,0,6440,62.14,-3.5,-245,Happy Money,Affiliates,Debt Consolidation,T6,7.5,MS,Full Time,Rent,40000,693,FICO,1371.23,0.392,-4,N,,,1,6/5/25,Monthly,5,357.13,6/5/25,357.3,93.8,7000,120.39,236.91,0,357.3,6763.09,5.59,351.71,120.39,236.91,0,23,5/5/27,0,7/5/25,,,1.00%,0,-245,,CRB_FORTRESS,5/21/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
26,6/1/25,6/30/25,6/30/25,86da8178-a07c-44be-aba7-0d5d2ac985e8,HM0D5D2AC985E8,266914,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,5/2/25,5/7/25,5/21/25,5/7/30,25000,60,0.2215,27.449,2500,0,22500,212.4,-3.5,-875,Happy Money,Affiliates,core,T5,7.5,IN,Full Time,Mortgage,65000,705,FICO,1937.06,0.387,-4,N,,,1,6/7/25,Monthly,7,692.61,6/6/25,700,360.54,25000,455.14,244.86,0,700,24755.14,20.38,679.62,455.14,244.86,0,59,5/7/30,0,7/7/25,,,1.00%,0,-875,,CRB_FORTRESS,5/21/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
27,6/1/25,6/30/25,6/30/25,d58e48f6-56a3-43e7-be24-4762e0aa8f23,HM4762E0AA8F23,319688,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,5/18/25,5/21/25,6/4/25,5/21/30,30000,60,0.225,27.819,3000,0,27000,258.9,-3.5,-1050,Happy Money,Unattributed,Debt Consolidation,T5,7.5,OR,Full Time,Rent,61500,662,FICO,1868.29,0.338,-4,N,,,1,6/21/25,Monthly,21,837.12,6/21/25,837.72,164.97,30000,573.29,264.43,0,837.72,29735.57,24.59,813.13,573.29,264.43,0,59,5/21/30,0,7/21/25,,,1.00%,0,-1050,,CRB_FORTRESS,6/4/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
28,6/1/25,6/30/25,6/30/25,5eed3c4e-f8d7-40f3-a255-2a1f0d91e6a6,HM2A1F0D91E6A6,215270,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,4/29/25,5/2/25,5/21/25,5/2/28,16800,36,0.1956,25.982,1386,0,15414,171.06,-3.5,-588,Happy Money,Unattributed,Debt Consolidation,T5,7.5,WA,Full Time,Rent,94685,702,FICO,3242.09,0.334,-4,N,,,1,6/2/25,Monthly,2,620.59,6/27/25,700,25.55,16253.05,339.69,360.31,0,700,15892.74,13.32,686.68,492.74,907.26,0,35,5/2/28,0,8/2/25,,,1.00%,0,-588,,CRB_FORTRESS,5/21/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
29,6/1/25,6/30/25,6/30/25,822ea740-6a41-459a-82d5-a02e1191c80e,HMA02E1191C80E,0012M00002eggurQAA,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,5/5/25,5/8/25,6/4/25,5/8/28,15500,36,0.1931,25.722,1278.75,0,14221.25,221.4,-3.5,-542.5,Happy Money,Unattributed,Debt Consolidation,T5,7.5,GA,Part Time,Rent,60000,739,FICO,1772.2,0.405,-4,N,,,1,6/8/25,Monthly,8,570.6,6/16/25,570.88,112.94,15500,319.81,251.07,0,570.88,15248.93,12.64,558.24,319.81,251.07,0,35,5/16/28,0,7/16/25,,,1.00%,0,-542.5,,CRB_FORTRESS,6/4/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,Y
30,6/1/25,6/30/25,6/30/25,2b4fa978-42f2-40c5-bd35-c376dc670959,HMC376DC670959,252886,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,5/1/25,5/6/25,5/21/25,5/6/28,5000,36,0.213,27.796,412.5,0,4587.5,43.77,-3.5,-175,Happy Money,Unattributed,Debt Consolidation,T6,7.5,KY,Full Time,Living with Family/Friends,45000,673,FICO,1880.7,0.27,-4,N,,,1,6/6/25,Monthly,6,189.15,6/6/25,189.25,68.64,5000,90.45,98.8,0,189.25,4901.2,4.04,185.21,90.45,98.8,0,35,5/6/28,0,7/6/25,,,1.00%,0,-175,,CRB_FORTRESS,5/21/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
31,6/1/25,6/30/25,6/30/25,2e15ba20-a675-44a0-9675-f82cdef06e79,HMF82CDEF06E79,319602,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,5/14/25,5/19/25,6/4/25,5/19/28,22000,36,0.1845,24.014,1595,0,20405,177.93,-3.5,-770,Happy Money,Affiliates,Debt Consolidation,T4,7.5,CA,Full Time,Rent,104624,679,FICO,3044.44,0.324,-4,N,,,1,6/19/25,Monthly,19,800.33,6/19/25,800.7,119.79,22000,344.74,455.96,0,800.7,21544.04,17.93,782.77,344.74,455.96,0,35,5/19/28,0,7/19/25,,,1.00%,0,-770,,CRB_FORTRESS,6/4/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
32,6/1/25,6/30/25,6/30/25,837b1110-553f-446d-9d62-232e04b6a6bb,HM232E04B6A6BB,0012M00002LoOZyQAN,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,5/14/25,5/19/25,6/4/25,5/19/30,20500,60,0.247,28.993,1640,0,18860,221.96,-3.5,-717.5,Happy Money,Unattributed,Debt Consolidation,T6,7.5,IL,Full Time,Rent,93000,667,FICO,2962.42,0.316,-4,N,,,1,6/19/25,Monthly,19,598.1,6/20/25,598.57,137.68,20500,443.92,154.65,0,598.57,20345.35,16.8,581.77,443.92,154.65,0,59,5/19/30,0,7/19/25,,,1.00%,0,-717.5,,CRB_FORTRESS,6/4/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
33,6/1/25,6/30/25,6/30/25,b65db183-24bd-494d-ba83-27f8681275bd,HM27F8681275BD,319943,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,5/26/25,5/29/25,6/18/25,5/29/29,9000,48,0.2225,28.57,900,0,8100,109.73,-3.5,-315,Happy Money,Unattributed,Debt Consolidation,T5,7.5,MI,Full Time,Rent,65000,696,FICO,2329.98,0.311,-4,N,,,1,6/29/25,Monthly,29,284.78,6/29/25,284.95,5.42,9000,170.08,114.87,0,284.95,8885.13,7.39,277.56,170.08,114.87,0,47,5/29/29,0,7/29/25,,,1.00%,0,-315,,CRB_FORTRESS,6/18/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
34,6/1/25,6/30/25,6/30/25,2ea893f7-7520-4bca-93c3-ad40330e3531,HMAD40330E3531,159780,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,4/18/25,4/23/25,5/7/25,4/23/28,20000,36,0.205,26.943,1650,0,18350,157.26,-3.5,-700,Happy Money,Affiliates,core,T5,7.4,CA,Full Time,Mortgage,68000,710,FICO,2628.19,0.261,-4,N,,,2,5/23/25,Monthly,23,748.38,6/8/25,748.58,234.88,19419.91,338.12,410.46,0,748.58,19009.45,15.7,732.88,506.61,990.55,0,34,4/8/28,0,7/8/25,,,1.00%,0,-700,,CRB_FORTRESS,5/7/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,Y
35,6/1/25,6/30/25,6/30/25,8912e5ef-2828-4e80-ad8a-d0ef43e80d4a,HMD0EF43E80D4A,319684,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,5/16/25,5/21/25,6/4/25,5/21/29,21000,48,0.1679,21.549,1680,0,19320,135.24,-3.5,-735,Happy Money,Affiliates,core,T3,7.5,GA,Retired,Own,66000,699,FICO,2103.45,0.392,-4,N,,,1,6/21/25,Monthly,21,603.68,6/21/25,603.98,85.68,21000,299.46,304.52,0,603.98,20695.48,17.18,586.8,299.46,304.52,0,47,5/21/29,0,7/21/25,,,1.00%,0,-735,,CRB_FORTRESS,6/4/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
36,6/1/25,6/30/25,6/30/25,2b92cdf7-b5a9-493f-826a-878eb3ef32e1,HM878EB3EF32E1,319599,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,5/14/25,5/19/25,6/4/25,5/19/29,25000,48,0.1679,21.55,2000,0,23000,184,-3.5,-875,Happy Money,Affiliates,core,T3,7.5,WA,Full Time,Mortgage,84023.29,666,FICO,3348.01,0.311,78,N,,,1,6/19/25,Monthly,19,718.66,6/19/25,719.03,124.67,25000,356.5,362.53,0,719.03,24637.47,20.43,698.6,356.5,362.53,0,47,5/19/29,0,7/19/25,,,1.00%,0,-875,,CRB_FORTRESS,6/4/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
37,6/1/25,6/30/25,6/30/25,608a9228-57b5-4b65-946e-e7083f299178,HME7083F299178,0012M00002swmhMQAQ,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,5/8/25,5/13/25,5/21/25,5/13/27,8000,24,0.1432,21.013,500,0,7500,25.11,-3.5,-280,Happy Money,Unattributed,Debt Consolidation,T4,7.5,AZ,Full Time,Rent,90000,706,FICO,4042.03,0.183,-4,N,,,1,6/13/25,Monthly,13,385.31,6/6/25,400,72.27,8000,75.33,324.67,0,400,7675.33,6.35,393.65,75.33,324.67,0,23,5/13/27,0,7/13/25,,,1.00%,0,-280,,CRB_FORTRESS,5/21/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
38,6/1/25,6/30/25,6/30/25,f758ed6b-4975-41c6-8d84-8088f7dcea20,HM8088F7DCEA20,266926,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,5/4/25,5/7/25,5/21/25,5/7/28,8500,36,0.213,27.795,701.25,0,7798.75,69.44,-3.5,-297.5,Happy Money,Direct Mail,Debt Consolidation,T6,7.5,SC,Full Time,Living with Family/Friends,60000,678,FICO,1969.5,0.354,-4,N,,,1,6/7/25,Monthly,7,321.55,6/7/25,321.72,111.83,8500,153.77,167.95,0,321.72,8332.05,6.88,314.84,153.77,167.95,0,35,5/7/28,0,7/7/25,,,1.00%,0,-297.5,,CRB_FORTRESS,5/21/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
39,6/1/25,6/30/25,6/30/25,2402c636-6efb-4980-89ec-7c77518a765f,HM7C77518A765F,173358,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,4/21/25,4/24/25,5/7/25,4/24/29,25000,48,0.1679,21.538,2000,0,23000,149.5,-3.5,-875,Happy Money,Affiliates,core,T3,7.5,CA,Full Time,Rent,125000,717,FICO,4381.85,0.236,-4,N,,,2,5/24/25,Monthly,24,718.66,6/23/25,718.88,78.08,24614.62,351,367.88,0,718.88,24246.74,20.15,698.73,684.5,753.26,0,46,4/24/29,0,7/24/25,,,1.00%,0,-875,,CRB_FORTRESS,5/7/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
40,6/1/25,6/30/25,6/30/25,6e6a438d-34ba-44b5-aafc-874117496c2e,HM874117496C2E,118199,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,4/13/25,4/16/25,4/23/25,4/16/28,15000,36,0.2225,28.555,1200,0,13800,64.01,-3.5,-525,Happy Money,Unattributed,Debt Consolidation,T6,7.4,CO,Full Time,Living with Family/Friends,88419,647,FICO,3388.26,0.243,85,N,,,2,5/16/25,Monthly,16,574.8,6/16/25,574.96,122.91,14699.36,277.78,297.18,0,574.96,14402.18,11.96,563,552.1,597.82,0,34,4/16/28,0,7/16/25,,,1.00%,0,-525,,CRB_FORTRESS,4/23/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
41,6/1/25,6/30/25,6/30/25,7f335e64-7582-4729-be36-5f8d4c18d232,HM5F8D4C18D232,118241,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,4/14/25,4/17/25,5/7/25,4/17/27,6000,24,0.21,29.912,480,0,5520,69.04,-3.5,-210,Happy Money,Affiliates,Debt Consolidation,T6,7.4,WA,Full Time,Rent,43000,677,FICO,2550.27,0.108,-4,N,,,2,5/17/25,Monthly,17,308.31,6/10/25,308.39,64.04,5771.01,102.93,205.46,0,308.39,5565.55,4.63,303.76,182.33,434.45,0,22,4/10/27,0,7/10/25,,,1.00%,0,-210,,CRB_FORTRESS,5/7/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,Y
42,6/1/25,6/30/25,6/30/25,fa4f213a-f775-4399-a7f1-bca23f8f8dd0,HMBCA23F8F8DD0,215265,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,4/29/25,5/2/25,5/21/25,5/2/29,10000,48,0.249,29.664,750,0,9250,129.62,-3.5,-350,Happy Money,Affiliates,Debt Consolidation,T6,7.5,OR,Full Time,Mortgage,72000,648,FICO,1827.24,0.413,-4,N,,,1,6/2/25,Monthly,2,331.01,6/2/25,331.25,188.73,10000,211.48,119.77,0,331.25,9880.23,8.12,323.13,211.48,119.77,0,47,5/2/29,0,7/2/25,,,1.00%,0,-350,,CRB_FORTRESS,5/21/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
43,6/1/25,6/30/25,6/30/25,6c0df0cb-f6e7-42d7-9f69-a9b994373b98,HMA9B994373B98,319929,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,5/25/25,5/29/25,6/18/25,5/29/28,24000,36,0.187,24.07,1680,0,22320,245.92,-3.5,-840,Happy Money,Affiliates,Debt Consolidation,T4,7.5,PA,Full Time,Rent,70000,650,FICO,2146.56,0.371,-4,N,,,1,6/29/25,Monthly,29,876.11,6/29/25,876.5,12.04,24000,381.17,495.33,0,876.5,23504.67,19.7,856.8,381.17,495.33,0,35,5/29/28,0,7/29/25,,,1.00%,0,-840,,CRB_FORTRESS,6/18/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
44,6/1/25,6/30/25,6/30/25,8cabad03-cc57-4a05-a321-d9066468c6e1,HMD9066468C6E1,319772,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,5/20/25,5/23/25,6/4/25,5/23/28,5500,36,0.213,27.586,440,0,5060,38.52,-3.5,-192.5,Happy Money,Affiliates,Debt Consolidation,T6,7.5,IL,Full Time,Rent,80730,661,FICO,3068.89,0.254,-4,N,,,1,6/23/25,Monthly,23,208.06,6/23/25,208.17,22.02,5500,99.5,108.67,0,208.17,5391.33,4.5,203.67,99.5,108.67,0,35,5/23/28,0,7/23/25,,,1.00%,0,-192.5,,CRB_FORTRESS,6/4/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
45,6/1/25,6/30/25,6/30/25,336eab30-2132-4319-8d43-fc2c44bb7a65,HMFC2C44BB7A65,319981,56,Fortress,,5/27/25,5/30/25,6/18/25,5/30/30,20000,60,0.187,23.228,1800,0,18200,194.68,-3.5,-700,Happy Money,Affiliates,core,T3,7.5,PA,Full Time,Rent,159000,696,FICO,7132.89,0.176,-4,N,,,1,6/30/25,Monthly,30,515.52,6/30/25,515.79,0,20000,317.64,198.15,0,515.79,19801.85,16.43,499.36,317.64,198.15,0,60,5/30/30,0,7/30/25,,,1.00%,0,-700,,CRB_FORTRESS,6/18/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
46,6/1/25,6/30/25,6/30/25,264c4278-f02b-4348-8f21-5e8f6f44d2d9,HM5E8F6F44D2D9,200668,56,Fortress,,4/28/25,5/1/25,5/21/25,5/1/28,15000,36,0.2031,26.763,1237.5,0,13762.5,166.93,-3.5,-525,Happy Money,Affiliates,Debt Consolidation,T5,7.4,TN,Full Time,Mortgage,70000,698,FICO,4121.5,0.051,-4,N,,,1,6/1/25,Monthly,1,559.83,6/27/25,300,23.81,14640.85,226.66,373.34,0,600,14267.51,11.92,588.08,467.51,732.49,0,35,5/1/28,0,8/1/25,,,1.00%,0,-525,,CRB_FORTRESS,5/21/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
47,6/1/25,6/30/25,6/30/25,a153ab18-502c-4138-a026-dc4b0ee57bd1,HMDC4B0EE57BD1,319638,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,5/15/25,5/20/25,6/4/25,5/20/29,5000,48,0.2015,25.862,462.5,0,4537.5,41.4,-3.5,-175,Happy Money,Affiliates,Debt Consolidation,T4,7.5,ND,Full Time,Mortgage,110000,701,FICO,3919.27,0.294,-4,N,,,1,6/20/25,Monthly,20,152.55,6/26/25,152.64,10.93,5000,102.13,50.51,0,152.64,4949.49,4.1,148.54,102.13,50.51,0,47,5/20/29,0,7/20/25,,,1.00%,0,-175,,CRB_FORTRESS,6/4/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
48,6/1/25,6/30/25,6/30/25,9731a818-c6eb-4ee2-aebf-396b5adda254,HM396B5ADDA254,319550,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,5/13/25,5/16/25,6/4/25,5/16/28,21600,36,0.182,23.755,1566,0,20034,204.64,-3.5,-756,Happy Money,Affiliates,core,T4,7.5,TX,Full Time,Rent,180000,717,FICO,8853.07,0.13,-4,N,,,1,6/16/25,Monthly,16,783.06,6/16/25,783.42,147.65,21600,333.88,449.54,0,783.42,21150.46,17.57,765.85,333.88,449.54,0,35,5/16/28,0,7/16/25,,,1.00%,0,-756,,CRB_FORTRESS,6/4/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
49,6/1/25,6/30/25,6/30/25,f716c535-50cd-4fa8-93e7-244893b1811e,HM244893B1811E,159782,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,4/18/25,4/23/25,5/7/25,4/23/27,8000,24,0.1767,25.586,580,0,7420,54.22,-3.5,-280,Happy Money,Affiliates,core,T5,7.4,PA,Full Time,Rent,125000,701,FICO,4358.74,0.278,-4,N,,,2,5/23/25,Monthly,23,398.12,6/30/25,398.2,0,7748.97,112.54,285.66,0,398.2,7463.31,6.36,391.84,259.71,536.69,0,22,4/30/27,0,7/31/25,,,1.00%,0,-280,,CRB_FORTRESS,5/7/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,Y
50,6/1/25,6/30/25,6/30/25,5e33ef73-4711-4793-998e-2c4717a4d322,HM2C4717A4D322,0012M00002k7X6SQAU,56,Fortress,,5/13/25,5/16/25,6/4/25,5/16/29,10000,48,0.224,28.732,1000,0,9000,116.6,-3.5,-350,Happy Money,Unattributed,Debt Consolidation,T5,7.5,CA,Full Time,Rent,65000,674,FICO,2189.07,0.328,-4,N,,,1,6/16/25,Monthly,16,317.24,6/21/25,8400,10.06,10000,220.93,8179.07,0,8400,1820.93,5.98,8394.02,220.93,8179.07,0,9,3/16/26,0,8/16/25,,,1.00%,0,-350,,CRB_FORTRESS,6/4/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
51,6/1/25,6/30/25,6/30/25,c7ac4e80-26ea-4bf7-92f7-6a72c24cea98,HM6A72C24CEA98,118134,56,Fortress,,4/10/25,4/15/25,4/23/25,4/15/30,25000,60,0.1972,24.458,2312.5,0,22687.5,108.05,-3.5,-875,Happy Money,Affiliates,Debt Consolidation,T3,7.4,FL,Full Time,Rent,167000,657,FICO,4976.78,0.364,-4,N,,,2,5/15/25,Monthly,15,658.46,6/15/25,658.72,198.57,24746.49,414.47,244.25,0,658.72,24502.24,20.23,638.49,819.68,497.76,0,58,4/15/30,0,7/15/25,,,1.00%,0,-875,,CRB_FORTRESS,4/23/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
52,6/1/25,6/30/25,6/30/25,7a5c5d4e-f6d1-41ba-9047-0383a98998da,HM0383A98998DA,187520,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,4/25/25,4/30/25,5/7/25,4/30/30,20000,60,0.215,26.745,2000,0,18000,82.47,-3.5,-700,Happy Money,Affiliates,Debt Consolidation,T4,7.5,WI,Full Time,Rent,95000,646,FICO,2728.25,0.356,-4,N,,,2,5/30/25,Monthly,30,546.71,6/16/25,546.9,171.73,20000,546.9,0,0,546.9,20000,16.44,530.46,546.9,0,0,59,5/16/30,0,7/16/25,,,1.00%,0,-700,,CRB_FORTRESS,5/7/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,Y
53,6/1/25,6/30/25,6/30/25,38d8e6aa-ad6b-4dc3-affd-4095d9fd328d,HM4095D9FD328D,319387,56,Fortress,1ce4994d-06f6-44b3-a73f-728182c4e4c2,5/8/25,5/13/25,5/21/25,5/13/28,13500,36,0.1795,23.497,978.75,0,12521.25,53.11,-3.5,-472.5,Happy Money,Affiliates,Debt Consolidation,T4,7.5,TX,Full Time,Mortgage,226000,650,FICO,8877.82,0.248,-4,N,,,1,6/13/25,Monthly,13,487.72,6/13/25,487.94,110.51,13500,205.81,282.13,0,487.94,13217.87,10.96,476.98,205.81,282.13,0,35,5/13/28,0,7/13/25,,,1.00%,0,-472.5,,CRB_FORTRESS,5/21/25,,,Current,0,0,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,N
