LOANID,PAYOFFUID,APPLICANTRESIDENCESTATE,LOANAMOUNT,INTERESTRATE,APR,ORIGINATIONDATE,STATUS,PORTFOLIONAME,PLACEMENT_STATUS,CURRENT_STATE
P3400B2DBDEBB,3bf7bbc5-71ab-a8c3-44d4-3400b2dbdebb,OH,5000.0000,0.1751,20.470,2022-08-16,Current,Theorem Main Master Fund LP - Loan Sale,Placed - HM,MA
P592BB4580282,7f6745ee-b155-470b-8bda-592bb4580282,MN,5000.0000,0.1581,17.990,2021-01-11,Paid in Full,Payoff FBO First Technology Credit Union,Placed - HM,MA
P996481FA8DD0,7b31fddd-7aa2-4f2b-e32a-996481fa8dd0,NC,5500.0000,0.1294,14.990,2020-05-06,Paid in Full,Payoff FBO First Technology Credit Union,Placed - HM,MA
PB822534FB0D7,9b49eddc-3036-4364-8b32-b822534fb0d7,NY,6000.0000,0.1964,21.990,2020-10-01,Charge off,Payoff FBO Alliant Credit Union,Placed - Bounce,MA
P0FFEAD576B44,3375f767-06b3-4f57-aa44-0ffead576b44,TN,5000.0000,0.1680,18.990,2019-07-16,Paid in Full,Payoff FBO Alliant Credit Union,Placed - HM,MA
PFBE79580713F,0acb4872-355c-83f2-4254-fbe79580713f,NY,5000.0000,0.1294,14.990,2019-12-18,Paid in Full,Payoff FBO First Technology Credit Union,Placed - HM,MA
