ROUTING_NUMBER,BANK_NAME,ACQUISITION_SOURCE,SERIES_TYPE,PRIMARY_USE,TOTAL_APPLICATIONS,RECENT_APPLICATIONS,CREATION_DAYS_THRESHOLD_BOUNDARY,APPLICATIONS_PROGRESSED_TO_LMS,PROGRESSION_RATE_PCT,FRAUD_FLAGGED_APPS,FALSE_POSITIVE_APPS,FRAUD_PASSED_APPS,ORIGINATED_STATUS,EXPIRED_STATUS,DECLINED_STATUS,EARLIEST_APPLICATION,LATEST_APPLICATION,UNIQUE_CUSTOMERS,AVG_APPS_PER_CUSTOMER,RECENT_ACTIVITY_RISK,HIGH_RISK_NEW_ACCOUNTS,MEDIUM_RISK_ACCOUNTS,LOW_RISK_OLD_ACCOUNTS,AVG_ACCOUNT_AGE_DAYS,EARLIEST_ACCOUNT_CREATION,LATEST_ACCOUNT_CREATION,AVG_REQUESTED_AMOUNT,AVG_FINAL_AMOUNT,MIN_REQUESTED_AMOUNT,MAX_REQUESTED_AMOUNT,TOTAL_REQUESTED_AMOUNT,CAPITAL_PARTNERS_USED,UNIQUE_CAPITAL_PARTNERS,APPLICANT_STATES,UNIQUE_STATES,ACQUISITION_SOURCES,UNIQUE_ACQUISITION_SOURCES
271070801,BMO Bank N.A.,BMO Harris Core,271xxx,ACH only,10,1,48,10,100.00,0,2,8,10,0,0,2024-12-01T03:26:52,2025-08-14T00:06:04,10,1.00,LOW,0,0,5,3711.6,2009-01-30T00:00:00,2022-08-01T00:00:00,19400.0,,10000.0,26000.0,194000.0,"MSUFCU, FTCU, CRB_FORTRESS",3,"NC, IL, OH, CO, TX, CA, AZ",7,"creditkarma_lightbox, Even Financial, sfmc_pif, sfmc_acquisition",4
303188111,Bank of the West (BMO),Bank of the West,303xxx,ACH only,1,0,48,1,100.00,0,0,1,1,0,0,2025-03-04T02:16:47,2025-03-04T02:16:47,1,1.00,NONE,0,0,1,253.0,2024-12-09T00:00:00,2024-12-09T00:00:00,40000.0,,40000.0,40000.0,40000.0,MSUFCU,1,OK,1,,0
121100782,Bank of the West (BMO),Bank of the West,121xxx,Primary Bank of the West routing,1,0,48,0,0.00,0,0,1,0,1,0,2025-02-26T19:22:47,2025-02-26T19:22:47,1,1.00,NONE,0,0,1,253.0,2024-12-09T00:00:00,2024-12-09T00:00:00,10000.0,,10000.0,10000.0,10000.0,MSUFCU,1,CA,1,Credible,1
