Assignment Date,Status,Batch,Product,Original Creditor,Account Public ID,External Account ID,Creditor Recalled?,Has Valid SSN?,Has User Name?,Has Email?,Has Phone?,Has Address?,No Origination Date,Is Deceased?,Is Bankruptcy?,User ID,Account ID,Charge Off Amount ($),Charge Off Date,Last payment Amount ($),Last Payment Date,Face Value ($)
"Aug 5, 2025",Bankrupt,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0695205896,P74312D32CB3E,False,True,True,True,True,True,False,False,True,"484,922","534,896","13,308.32","May 26, 2025",579.19,"Dec 26, 2024","14,186.12"
"Aug 5, 2025",Bankrupt,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0697368584,PF76742B6D61A,False,True,True,True,True,True,False,False,True,"484,955","534,929","12,488.15","May 7, 2025",578.54,"Dec 9, 2024","13,300.19"
"Aug 5, 2025",Bankrupt,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0704577544,PDED652DEBDC3,False,True,True,True,True,True,False,False,True,"485,064","535,039","17,413.04","Apr 15, 2025",666.42,"Sep 17, 2024","18,617.71"
"Aug 5, 2025",Bankrupt,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0716177416,P532B0B3E537B,False,True,True,True,True,True,False,False,True,"485,239","535,216","28,567.94","May 24, 2025",328,"Feb 7, 2025","32,780.47"
"Aug 5, 2025",Bankrupt,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0717488136,PE755982315A5,False,True,True,True,True,True,False,False,True,"485,259","535,236","18,667.23","Jun 11, 2025",978.16,"Jan 11, 2025","19,851.83"
"Aug 5, 2025",Bankrupt,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0719257608,P7BDA8E120A0C,False,True,True,True,True,True,False,False,True,"485,286","535,263","16,667.38","May 10, 2025",322.63,"Jul 14, 2025","17,888.25"
"Aug 5, 2025",Bankrupt,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0722927624,PAC9DA379DB69,False,True,True,True,True,True,False,False,True,"485,342","535,319","22,566.39","Jun 2, 2025",899.28,"Jan 2, 2025","24,310.59"
"Aug 5, 2025",Bankrupt,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0729481224,P8EFB921C112E,False,True,True,True,True,True,False,False,True,"485,441","535,419","9,411.01","Apr 4, 2025",242,"Nov 6, 2024","10,192.54"
"Aug 5, 2025",Bankrupt,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0731774984,PA611F5FDF75A,False,True,True,True,True,True,False,False,True,"485,476","535,454","6,539.86","Apr 14, 2025",254.62,"Nov 15, 2024","7,151.44"
"Aug 5, 2025",Bankrupt,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0732626952,P0A9972350160,False,True,True,True,True,True,False,False,True,"485,489","535,467","17,332.61","Apr 24, 2025",700,"Oct 10, 2024","19,257.25"
