Assignment Date,Status,Batch,Product,Original Creditor,Account Public ID,External Account ID,Creditor Recalled?,Has Valid SSN?,Has User Name?,Has Email?,Has Phone?,Has Address?,No Origination Date,Is Deceased?,Is Bankruptcy?,User ID,Account ID,Charge Off Amount ($),Charge Off Date,Last payment Amount ($),Last Payment Date,Face Value ($)
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0647626760,P7307B4721C89,False,True,True,True,True,True,False,False,False,"484,204","534,170","9,727.38","Jun 25, 2025",325,"Apr 26, 2025","9,987.39"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0647888904,PB98F04EF4C78,False,True,True,True,True,True,False,False,False,"484,208","534,174",769.42,"Jun 23, 2025",77,"Jul 23, 2025",628.35
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0648085512,P66478BB6EC8C,False,True,True,True,True,True,False,False,False,"484,211","534,177","4,606.97","Apr 5, 2025",367.83,"Jun 6, 2025","3,931.39"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0648478728,P6804B30155E0,False,True,True,True,True,True,False,False,False,"484,217","534,183","9,647.42","May 13, 2025",682.68,"Mar 9, 2025","9,916.15"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0648871944,PB8F80A14B5D6,False,True,True,True,True,True,False,False,False,"484,223","534,189","19,574.79","Jun 26, 2025",100,"Jun 2, 2025","19,691.75"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0649068552,PEDABB334EAE4,False,True,True,True,True,True,False,False,False,"484,226","534,192","13,857.54","Apr 19, 2025",519.15,"Dec 26, 2024","14,558.1"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0649199624,P67AC493E2830,False,True,True,True,True,True,False,False,False,"484,228","534,194","3,724.4","Jun 25, 2025",491.93,"Jan 2, 2025","3,922.67"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0649330696,P53A54DDE9789,False,True,True,True,True,True,False,False,False,"484,230","534,196","13,475.94","May 26, 2025",266.3,"Apr 2, 2025","14,242.37"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0649527304,P3580BACD1F16,False,True,True,True,True,True,False,False,False,"484,233","534,199",546.66,"May 20, 2025",248.82,"Dec 16, 2024",587.95
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0649854984,P039E5B3DF6C0,False,True,True,True,True,True,False,False,False,"484,238","534,204","8,841.75","Apr 24, 2025",445.58,"May 31, 2024","10,668.72"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0649920520,PA097266E4DB6,False,True,True,True,True,True,False,False,False,"484,239","534,205","13,410.19","Jun 28, 2025",463.68,"Mar 7, 2025","14,073.57"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0649986056,P3A9DCC4B604E,False,True,True,True,True,True,False,False,False,"484,240","534,206","28,107.95","May 9, 2025",270,"Oct 9, 2024","30,536.61"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0650969096,P25001AA6F91D,False,True,True,True,True,True,False,False,False,"484,254","534,221","30,268.69","May 20, 2025","1,130.75","Dec 20, 2024","32,268.94"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0651034632,P84C256177F44,False,True,True,True,True,True,False,False,False,"484,255","534,222","12,168.42","Jun 1, 2025",798.45,"Dec 2, 2024","13,274.65"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0651558920,P7C8425DC2E1C,False,True,True,True,True,True,False,False,False,"484,263","534,230","17,303.73","Apr 14, 2025",138,"Mar 14, 2025","17,716.75"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0651689992,P9A5B325480CF,False,True,True,True,True,True,False,False,False,"484,265","534,232","11,893.37","Apr 24, 2025",566.6,"Oct 25, 2024","12,833.43"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0651886600,P7B30F11B6401,False,True,True,True,True,True,False,False,False,"484,268","534,235","21,655.17","Apr 17, 2025",666.16,"Nov 18, 2024","23,394.39"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0652017672,PF09476715CD5,False,True,True,True,False,True,False,False,False,"484,270","534,237","20,630.56","Apr 21, 2025","1,228.69","Sep 23, 2024","21,427.18"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0652083208,P8D1932DA7974,False,True,True,True,True,True,False,False,False,"484,271","534,238","14,473.21","Apr 27, 2025",634.36,"Dec 28, 2024","16,104.28"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0652279816,P96C7CBE8C555,False,True,True,True,True,True,False,False,False,"484,274","534,241","7,394.89","May 5, 2025",676.8,"Dec 5, 2024","7,939.34"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0652935176,P8BCBD370990D,False,True,True,True,True,True,False,False,False,"439,183","534,251","5,933.8","May 21, 2025",250,"Feb 13, 2025","6,232.66"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0653000712,P5714A06C8F08,False,True,True,True,True,True,False,False,False,"484,284","534,252","8,959.64","May 27, 2025",452.5,"Feb 27, 2025","9,466.76"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0653393928,PFB360239FBB1,False,True,True,True,True,True,False,False,False,"484,290","534,258","12,787.99","Apr 14, 2025",500,"Mar 16, 2025","12,987.97"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0654180360,P58B3039EC53D,False,True,True,False,True,True,False,False,False,"484,302","534,270","22,484.2","May 10, 2025","1,083.8","Dec 10, 2024","24,451.55"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0654245896,P292D6DEFB89F,False,True,True,True,True,True,False,False,False,"484,303","534,271","7,422.23","May 28, 2025",873.5,"Dec 28, 2024","7,903.43"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0654311432,P03BE4C5C2F94,False,True,True,True,True,True,False,False,False,"484,304","534,272","27,666.57","Jun 28, 2025","1,002.16","Jan 28, 2025","29,576.72"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0654442504,PD289BBD3FD4B,False,True,True,True,True,True,False,False,False,"484,306","534,274","11,910.83","Jun 16, 2025",480.57,"Jan 16, 2025","12,697.93"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0654508040,PEA6E3A591CCD,False,True,True,True,True,True,False,False,False,"484,307","534,275","12,293.14","Jun 29, 2025",736.58,"Feb 1, 2025","13,100.73"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0654639112,P507D85FDBDE5,False,True,True,True,True,True,False,False,False,"484,309","534,277","7,312.91","Jun 17, 2025",477.41,"Apr 13, 2025","7,606.61"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0655032328,PC76AEF267875,False,True,True,True,True,True,False,False,False,"484,315","534,283","5,231.81","May 16, 2025",278.04,"Dec 16, 2024","5,445.86"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0655491080,P346CB2ECFE20,False,True,True,True,True,True,False,False,False,"484,322","534,290","6,526.76","Jun 10, 2025",683.73,"Jan 10, 2025","6,956.71"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0655622152,P78FC51DDA7F8,False,True,True,True,True,True,False,False,False,"484,324","534,292","18,250.94","Jun 25, 2025","1,960.53","Feb 28, 2025","19,582.42"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0656211976,PA56EF4BE2988,False,True,True,True,True,True,False,False,False,"484,333","534,301","10,163.32","Apr 23, 2025",641.8,"Oct 24, 2024","11,182.9"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0656539656,PC3D7888FEC2E,False,True,True,True,True,True,False,False,False,"484,338","534,306","9,183","Jun 24, 2025",495.58,"Jan 24, 2025","9,718.7"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0656670728,P09C7D3FB8A19,False,True,True,True,True,True,False,False,False,"484,340","534,308","16,702.98","Jun 1, 2025",692.05,"Jan 1, 2025","17,926.48"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0656801800,P690CD495A38B,False,True,True,True,True,True,False,False,False,"484,342","534,310","16,829.52","Jun 28, 2025",639.05,"Feb 28, 2025","18,135.03"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0656998408,PDCB5F09064E9,False,True,True,True,True,True,False,False,False,"484,345","534,313","16,184.36","May 1, 2025",629.49,"Dec 2, 2024","17,427.2"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0657195016,P3D4E8F52349A,False,True,True,True,True,True,False,False,False,"484,348","534,316","3,991.9","Jun 27, 2025",265.61,"Jan 16, 2025","4,185.53"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0657588232,P6FEE197E624F,False,True,True,True,True,True,False,False,False,"484,354","534,322","2,690.19","Apr 4, 2025",566.98,"Nov 5, 2024","2,926.75"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0657653768,P52697FCEB955,False,True,True,True,True,True,False,False,False,"484,355","534,323","3,752.83","May 15, 2025",554.47,"Dec 15, 2024","3,938.43"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0657719304,P296850EC8145,False,True,True,True,True,True,False,False,False,"484,356","534,324","5,102.43","May 20, 2025",235,"Mar 14, 2025","5,305.9"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0658178056,P51DB84F9A7C5,False,True,True,True,True,True,False,False,False,"484,363","534,331","23,374.02","Apr 27, 2025","1,102.68","Dec 4, 2024","24,335.2"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0658374664,PEF5BBBC4861F,False,True,True,True,True,True,False,False,False,"484,366","534,334","31,777.32","Apr 6, 2025",301,"Nov 13, 2024","35,850.07"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0659619848,PA5C44E4442B7,False,True,True,True,True,True,False,False,False,"484,385","534,353","10,340","Apr 16, 2025",229.54,"Jan 5, 2025","10,904.56"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0659816456,P6A852BB29715,False,True,True,True,True,True,False,False,False,"484,388","534,356","4,569.68","May 19, 2025",600,"Mar 23, 2025","4,630.32"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0659947528,PA64C248CE6CC,False,True,True,True,True,True,False,False,False,"484,389","534,358","16,025.13","Apr 20, 2025",709.53,"Jun 21, 2025","14,104.35"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0660013064,P37715D3C4696,False,True,True,True,True,True,False,False,False,"484,390","534,359","26,287.85","May 15, 2025",759.36,"Oct 15, 2024","29,012.45"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0660209672,PE6C7F28BC9D5,False,True,True,False,True,True,False,False,False,"484,393","534,362","17,703.27","Apr 22, 2025","1,015.26","Oct 23, 2024","19,081.61"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0660340744,P197B4272C3FE,False,True,True,True,True,True,False,False,False,"484,396","534,364","3,671.64","May 7, 2025",364.39,"Dec 13, 2024","3,944.74"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0660537352,P1D069BE51992,False,True,True,True,True,True,False,False,False,"484,398","534,367","20,559.29","Apr 25, 2025",711.93,"Dec 6, 2024","21,993.27"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0660733960,P841E74974EED,False,True,True,True,True,True,False,False,False,"484,401","534,370","1,823.84","Jun 6, 2025",218.63,"Jan 6, 2025","1,964.94"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0660865032,PF9410E05A891,False,True,True,True,True,True,False,False,False,"484,403","534,372","15,589.86","Apr 1, 2025",218,"Jan 2, 2025","16,635.82"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0661192712,P60EA854636BC,False,True,True,True,True,True,False,False,False,"484,408","534,377","4,872.64","Jun 28, 2025",187.71,"Apr 11, 2025","5,087.26"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0661454856,P3E0D12405F2F,False,True,True,True,True,True,False,False,False,"484,411","534,381","11,736.05","May 28, 2025",874,"Dec 28, 2024","12,498.9"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0661520392,P9909694028A6,False,True,True,True,True,True,False,False,False,"484,413","534,382","18,581.91","Jun 14, 2025","1,225.32","Jan 1, 2025","19,899.41"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0661651464,P435FC3BE9487,False,True,True,True,True,True,False,False,False,"484,415","534,384","9,403.19","May 28, 2025","1,197.98","Dec 28, 2024","9,663.74"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0661979144,P7637C9F594FB,False,True,True,True,True,True,False,False,False,"484,420","534,389","6,146.81","Apr 20, 2025",272.15,"Nov 12, 2024","6,763.41"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0662044680,PACBC0E3CB7AE,False,True,True,True,True,True,False,False,False,"484,421","534,390","8,881.81","Apr 14, 2025","1,160.16","Nov 15, 2024","9,395.06"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0662372360,PE9165C38BF8A,False,True,True,True,True,True,False,False,False,"484,426","534,395","13,096.71","May 3, 2025",578.28,"Jul 9, 2024","14,357.49"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0662503432,P25DFAECA905C,False,True,True,True,True,True,False,False,False,"484,428","534,397","15,080.29","May 13, 2025",936.24,"Feb 14, 2025","15,845.3"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0662831112,P4FA48FE26C84,False,True,True,True,True,True,False,False,False,"484,433","534,402","8,645.77","Apr 15, 2025",557.91,"Sep 16, 2024","9,631.97"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0663027720,P22BA98AAA20B,False,True,True,True,True,True,False,False,False,"484,436","534,405","16,669.6","Apr 12, 2025",686.5,"Apr 13, 2025","17,452.77"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0663093256,P5C820EF38765,False,True,True,True,True,True,False,False,False,"484,437","534,406","7,590.95","Apr 25, 2025",689.4,"Feb 27, 2025","7,769.39"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0663355400,PBCBBBEBA1713,False,True,True,True,True,True,False,False,False,"484,441","534,410","4,989.24","Apr 1, 2025",193,"Oct 28, 2024","5,473.73"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0663683080,P35B400D32987,False,True,True,True,True,True,False,False,False,"484,445","534,415","7,137.67","Jun 7, 2025",309.66,"Jul 5, 2025","6,961.25"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0664076296,PFF0E17922FD9,False,True,True,True,True,True,False,False,False,"484,451","534,421","6,851.31","Jun 29, 2025",215.85,"Jul 31, 2025","6,294.23"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0664469512,P7DD9A84BC0C4,False,True,True,True,True,True,False,False,False,"484,457","534,427",801.3,"May 18, 2025",166.16,"Dec 18, 2024",850.5
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0664666120,P1F6747562D95,False,True,True,True,True,True,False,False,False,"484,460","534,430","13,623.7","May 10, 2025",567.81,"Dec 10, 2024","14,521.15"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0664731656,P016789D45842,False,True,True,True,True,True,False,False,False,"484,461","534,431","12,894.73","Apr 25, 2025",650.15,"Dec 4, 2024","13,467.08"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0664862728,P90D2F057FC66,False,True,True,True,True,True,False,False,False,"484,463","534,433","27,292.53","May 27, 2025",514,"Mar 7, 2025","29,014.01"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0664928264,PD90429C20AC6,False,True,True,True,True,True,False,False,False,"484,464","534,434","13,438.46","Apr 3, 2025",599.32,"Jan 4, 2025","15,237.1"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0665190408,P982934D9D596,False,True,True,True,True,True,False,False,False,"484,468","534,438","10,095.49","May 15, 2025",876.58,"Dec 16, 2024","10,756.25"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0665452552,P0A9EE170D300,False,True,True,True,True,True,False,False,False,"484,472","534,442","32,810.01","Jun 10, 2025","1,130.13","Jan 10, 2025","35,128.47"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0665911304,PA75C46CB692A,False,True,True,True,True,True,False,False,False,"484,479","534,449","11,415.87","May 1, 2025",599.32,"Dec 2, 2024","12,476.84"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0666107912,P6A0E24ACAB88,False,True,True,True,True,True,False,False,False,"484,481","534,452",256.57,"May 28, 2025",89.86,"Nov 29, 2024",283.83
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0666173448,P99F38BC4378D,False,True,True,True,True,True,False,False,False,"484,483","534,453","4,829.48","Apr 20, 2025",299.6,"Sep 23, 2024","5,403.29"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0666304520,P9FE0FAAA196E,False,True,True,True,True,True,False,False,False,"484,485","534,455","4,696.43","Jun 25, 2025",159.59,"Mar 22, 2025","5,254.01"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0666501128,P76ED4C805C0E,False,True,True,True,True,True,False,False,False,"484,488","534,458","13,946.86","Apr 24, 2025",251.33,"Feb 14, 2025","14,526.21"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0666566664,P8559DCCD6F89,False,True,True,True,True,True,False,False,False,"484,489","534,459","4,221.66","Apr 24, 2025",273.71,"Mar 25, 2025","4,298.57"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0666632200,PC01A955BB5A9,False,True,True,False,True,True,False,False,False,"484,490","534,460","17,694.28","Apr 1, 2025",341,"Apr 2, 2025","19,182.07"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0666697736,P890281E0DCC5,False,True,True,True,True,True,False,False,False,"484,491","534,461","9,675.11","Jun 4, 2025",847.61,"Apr 1, 2025","10,058.61"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0667090952,P4D59FE953EBE,False,True,True,True,True,True,False,False,False,"484,497","534,467","2,898.59","Jun 16, 2025",260,"Mar 22, 2025","3,048.4"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0667222024,P7B7E009211BF,False,True,True,True,True,True,False,False,False,"484,499","534,469","3,097.46","Apr 24, 2025",374.24,"Nov 25, 2024","3,360.45"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0667353096,PDB2D3F562C88,False,True,True,True,True,True,False,False,False,"484,501","534,471","6,933.76","Apr 27, 2025",477.41,"Nov 29, 2024","7,577.85"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0667680776,P813343F4A089,False,True,True,True,True,True,False,False,False,"484,506","534,476","19,460.33","Apr 11, 2025",327,"Sep 12, 2024","20,807.25"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0667746312,P34B9CE64E9CA,False,True,True,True,True,True,False,False,False,"484,507","534,477","9,690.4","May 1, 2025",348.25,"Dec 1, 2024","10,192.7"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0667811848,PE4715B7137D9,False,True,True,True,True,True,False,False,False,"484,508","534,478","20,802.67","Jun 1, 2025",884.19,"Feb 1, 2025","21,875.39"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0668008456,P3C69ED834C17,False,True,True,False,True,True,False,False,False,"484,510","534,481","6,806.32","May 13, 2025",453.58,"Dec 13, 2024","7,363.32"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0668073992,P0B271AD5FC7D,False,True,True,True,True,True,False,False,False,"484,512","534,482","20,238.86","Apr 19, 2025",598.01,"Jun 27, 2025","20,936.98"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0668205064,P73E8B91E5CE5,False,True,True,True,True,True,False,False,False,"484,514","534,484","9,351.34","Jun 12, 2025",546.58,"Apr 10, 2025","9,894.93"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0668336136,PB4194D948504,False,True,True,True,True,True,False,False,False,"484,516","534,486","12,445.27","May 28, 2025",251.88,"Feb 28, 2025","13,028.1"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0668598280,PEC8B817A0F23,False,True,True,True,True,True,False,False,False,"484,520","534,490","1,881.18","Jun 6, 2025",174.11,"Dec 11, 2024","2,021.42"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0668794888,P2E96EA06CE85,False,True,True,True,True,True,False,False,False,"484,523","534,493","12,854.27","Apr 18, 2025",561.88,"Apr 19, 2024","15,432.52"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0668925960,P633A26A2AD5D,False,True,True,True,True,True,False,False,False,"484,524","534,495","23,087.98","Jun 27, 2025","1,070","Mar 28, 2025","24,379.25"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0669057032,PE47BE9E77BCE,False,True,True,True,True,True,False,False,False,"484,526","534,497","7,322.15","May 6, 2025",362,"Jan 2, 2025","7,847.31"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0669384712,P1F988C50AF89,False,True,True,True,True,True,False,False,False,"484,531","534,502","12,829.85","May 19, 2025",557.51,"Nov 19, 2024","14,270.03"
"Aug 5, 2025",Included,HM_AUG_25_ACU_25Q2,Personal Loan,"Happy Money, Originated by Alliant Credit Union",BA-0669515784,PD301070B864E,False,True,True,True,True,True,False,False,False,"484,533","534,504","10,873.07","Jun 11, 2025",596.08,"Jan 11, 2025","11,589.32"
