SENT,PAYOFFUID,PAYOFFLOANID,SENT_DATE,EMAIL_CAMPAIGN_NAME,EVENT_TYPE,EMAIL_ID
1,2933df70-9a19-41c9-a638-fea7bc6f49c4,HMFEA7BC6F49C4,2025-09-29,COL_Batch_DLQ_PastDue_40-60Days_EM6_0225,Sent,164938
1,da27a4b9-ab84-4826-bf68-7dcb74c375ad,HM7DCB74C375AD,2025-09-27,COL_Batch_DLQ_PastDue_5Days_EM2_0225,Sent,164934
1,2933df70-9a19-41c9-a638-fea7bc6f49c4,HMFEA7BC6F49C4,2025-09-27,COL_Batch_DLQ_PastDue_40-60Days_EM6_0225,Sent,164938
1,da27a4b9-ab84-4826-bf68-7dcb74c375ad,HM7DCB74C375AD,2025-09-25,COL_Batch_DLQ_PastDue_3Days_EM1_0225,Sent,164932
1,2933df70-9a19-41c9-a638-fea7bc6f49c4,HMFEA7BC6F49C4,2025-09-25,COL_Batch_DLQ_PastDue_40-60Days_EM6_0225,Sent,164938
1,499af944-6495-4f69-8bd9-f6e406e22863,HMF6E406E22863,2025-09-14,COL_Batch_DLQ_PastDue_40-60Days_EM6_0225,Sent,164938
1,4ecf851d-82cb-4188-808e-d339cb14b81d,HMD339CB14B81D,2025-09-14,COL_Batch_DLQ_PastDue_15-29Days_EM4_0225,Sent,164937
1,499af944-6495-4f69-8bd9-f6e406e22863,HMF6E406E22863,2025-09-12,COL_Batch_DLQ_PastDue_40-60Days_EM6_0225,Sent,164938
1,4ecf851d-82cb-4188-808e-d339cb14b81d,HMD339CB14B81D,2025-09-12,COL_Batch_DLQ_PastDue_15-29Days_EM4_0225,Sent,164937
1,da27a4b9-ab84-4826-bf68-7dcb74c375ad,HM7DCB74C375AD,2025-09-12,COL_Batch_DLQ_PastDue_15-29Days_EM4_0225,Sent,164937
1,2933df70-9a19-41c9-a638-fea7bc6f49c4,HMFEA7BC6F49C4,2025-09-12,COL_Batch_DLQ_PastDue_15-29Days_EM4_0225,Sent,164937
1,ac915131-20fc-4484-8c8d-68a034e3af31,HM68A034E3AF31,2025-09-10,COL_Batch_DLQ_PastDue_40-60Days_EM6_0225,Sent,164938
1,4ecf851d-82cb-4188-808e-d339cb14b81d,HMD339CB14B81D,2025-09-10,COL_Batch_DLQ_PastDue_15-29Days_EM4_0225,Sent,164937
1,da27a4b9-ab84-4826-bf68-7dcb74c375ad,HM7DCB74C375AD,2025-09-10,COL_Batch_DLQ_PastDue_15-29Days_EM4_0225,Sent,164937
1,2933df70-9a19-41c9-a638-fea7bc6f49c4,HMFEA7BC6F49C4,2025-09-10,COL_Batch_DLQ_PastDue_25Days_EM5_0225,Sent,165029
1,2933df70-9a19-41c9-a638-fea7bc6f49c4,HMFEA7BC6F49C4,2025-09-08,COL_Batch_DLQ_PastDue_15-29Days_EM4_0225,Sent,164937
1,da27a4b9-ab84-4826-bf68-7dcb74c375ad,HM7DCB74C375AD,2025-09-08,COL_Batch_DLQ_PastDue_15-29Days_EM4_0225,Sent,164937
1,4ecf851d-82cb-4188-808e-d339cb14b81d,HMD339CB14B81D,2025-09-08,COL_Batch_DLQ_PastDue_15-29Days_EM4_0225,Sent,164937
1,ac915131-20fc-4484-8c8d-68a034e3af31,HM68A034E3AF31,2025-09-08,COL_Batch_DLQ_PastDue_40-60Days_EM6_0225,Sent,164938
1,4ecf851d-82cb-4188-808e-d339cb14b81d,HMD339CB14B81D,2025-09-06,COL_Batch_DLQ_PastDue_15-29Days_EM4_0225,Sent,164937
1,2933df70-9a19-41c9-a638-fea7bc6f49c4,HMFEA7BC6F49C4,2025-09-06,COL_Batch_DLQ_PastDue_15-29Days_EM4_0225,Sent,164937
1,ac915131-20fc-4484-8c8d-68a034e3af31,HM68A034E3AF31,2025-09-06,COL_Batch_DLQ_PastDue_40-60Days_EM6_0225,Sent,164938
1,da27a4b9-ab84-4826-bf68-7dcb74c375ad,HM7DCB74C375AD,2025-09-06,COL_Batch_DLQ_PastDue_15-29Days_EM4_0225,Sent,164937
1,2933df70-9a19-41c9-a638-fea7bc6f49c4,HMFEA7BC6F49C4,2025-09-04,COL_Batch_DLQ_PastDue_15-29Days_EM4_0225,Sent,164937
1,ac915131-20fc-4484-8c8d-68a034e3af31,HM68A034E3AF31,2025-09-04,COL_Batch_DLQ_PastDue_40-60Days_EM6_0225,Sent,164938
1,2933df70-9a19-41c9-a638-fea7bc6f49c4,HMFEA7BC6F49C4,2025-09-02,COL_Batch_DLQ_PastDue_15-29Days_EM4_0225,Sent,164937
1,ac915131-20fc-4484-8c8d-68a034e3af31,HM68A034E3AF31,2025-09-02,COL_Batch_DLQ_PastDue_40-60Days_EM6_0225,Sent,164938
1,da27a4b9-ab84-4826-bf68-7dcb74c375ad,HM7DCB74C375AD,2025-09-01,COL_Batch_DLQ_PastDue_10Days_EM3_0225,Sent,164936
1,4ecf851d-82cb-4188-808e-d339cb14b81d,HMD339CB14B81D,2025-09-01,COL_Batch_DLQ_PastDue_10Days_EM3_0225,Sent,164936
1,499af944-6495-4f69-8bd9-f6e406e22863,HMF6E406E22863,2025-09-01,COL_Batch_DLQ_PastDue_15-29Days_EM4_0225,Sent,164937
1,2933df70-9a19-41c9-a638-fea7bc6f49c4,HMFEA7BC6F49C4,2025-08-31,COL_Batch_DLQ_PastDue_15-29Days_EM4_0225,Sent,164937
1,ac915131-20fc-4484-8c8d-68a034e3af31,HM68A034E3AF31,2025-08-31,COL_Batch_DLQ_PastDue_40-60Days_EM6_0225,Sent,164938
1,499af944-6495-4f69-8bd9-f6e406e22863,HMF6E406E22863,2025-08-30,COL_Batch_DLQ_PastDue_15-29Days_EM4_0225,Sent,164937
1,ac915131-20fc-4484-8c8d-68a034e3af31,HM68A034E3AF31,2025-08-29,COL_Batch_DLQ_PastDue_40-60Days_EM6_0225,Sent,164938
1,499af944-6495-4f69-8bd9-f6e406e22863,HMF6E406E22863,2025-08-28,COL_Batch_DLQ_PastDue_25Days_EM5_0225,Sent,165029
1,ac915131-20fc-4484-8c8d-68a034e3af31,HM68A034E3AF31,2025-08-27,COL_Batch_DLQ_PastDue_40-60Days_EM6_0225,Sent,164938
1,da27a4b9-ab84-4826-bf68-7dcb74c375ad,HM7DCB74C375AD,2025-08-27,COL_Batch_DLQ_PastDue_5Days_EM2_0225,Sent,164934
1,4ecf851d-82cb-4188-808e-d339cb14b81d,HMD339CB14B81D,2025-08-27,COL_Batch_DLQ_PastDue_5Days_EM2_0225,Sent,164934
1,499af944-6495-4f69-8bd9-f6e406e22863,HMF6E406E22863,2025-08-26,COL_Batch_DLQ_PastDue_15-29Days_EM4_0225,Sent,164937
1,2933df70-9a19-41c9-a638-fea7bc6f49c4,HMFEA7BC6F49C4,2025-08-26,COL_Batch_DLQ_PastDue_10Days_EM3_0225,Sent,164936
1,da27a4b9-ab84-4826-bf68-7dcb74c375ad,HM7DCB74C375AD,2025-08-25,COL_Batch_DLQ_PastDue_3Days_EM1_0225,Sent,164932
1,4ecf851d-82cb-4188-808e-d339cb14b81d,HMD339CB14B81D,2025-08-25,COL_Batch_DLQ_PastDue_3Days_EM1_0225,Sent,164932
1,ac915131-20fc-4484-8c8d-68a034e3af31,HM68A034E3AF31,2025-08-25,COL_Batch_DLQ_PastDue_40-60Days_EM6_0225,Sent,164938
