LP_LOAN_ID,LOANID,SETTINGS_ID,PLACEMENT_STATUS,PLACEMENT_STATUS_STARTDATE,PLACEMENT_STATUS_ENDDATE
100765,PA338E988B2EB,100765,Resurgent,2025-07-31,
96473,PA3679D87572A,96473,Resurgent,2025-07-31,
98871,PA36E0ABBD65A,98871,Resurgent,2025-07-31,
100584,PA39FEB2C7A38,100584,Resurgent,2025-07-31,
98893,PA3B2D1216A79,98893,Resurgent,2025-07-31,
97305,PA3EA26CAC692,97305,Resurgent,2025-07-31,
97337,PA3ED9DEC2579,97337,Resurgent,2025-07-31,
99555,PA3F51ADD1B2A,99555,Resurgent,2025-07-31,
98754,PA4598855CE2C,98754,Resurgent,2025-07-31,
97138,PA45FC396EEBB,97138,Resurgent,2025-07-31,
98530,PA468FF8F960A,98530,Resurgent,2025-07-31,
100647,PA46BC71269FE,100647,Resurgent,2025-07-31,
100729,PA4DD47393E57,100729,Resurgent,2025-07-31,
68857,PA4F1649D56E0,68857,Resurgent,2025-07-31,
99291,PA4F6372A2B6F,99291,Resurgent,2025-07-31,
100457,PA548CA61176F,100457,Resurgent,2025-07-31,
99185,PA559568FCAD7,99185,Resurgent,2025-07-31,
99970,PA5687AACF31C,99970,Resurgent,2025-07-31,
98653,PA56B9EA0FA5F,98653,Resurgent,2025-07-31,
96448,PA5883EC98080,96448,Resurgent,2025-07-31,
96999,PA5C54376BDCC,96999,Resurgent,2025-07-31,
70822,PA5C90B09B6D2,70822,Resurgent,2025-07-31,
98930,PA5FCB2D7F2E9,98930,Resurgent,2025-07-31,
99096,PA60ECF893253,99096,Resurgent,2025-07-31,
99810,PA610C2109AB1,99810,Resurgent,2025-07-31,
100784,PA6413FBAB7F5,100784,Resurgent,2025-07-31,
99497,PA68F44A09F14,99497,Resurgent,2025-07-31,
100697,PA6A23E42554A,100697,Resurgent,2025-07-31,
97086,PA6A9F1E63175,97086,Resurgent,2025-07-31,
72345,PA6B49BD2047C,72345,Resurgent,2025-07-31,
100940,PA6CA1F31A9D5,100940,Resurgent,2025-07-31,
100397,PA6CE4F3ACA62,100397,Resurgent,2025-07-31,
99510,PA6D5DE86C7E9,99510,Resurgent,2025-07-31,
99330,PA6FAAAB4780B,99330,Resurgent,2025-07-31,
71548,PA6FF6FBACDF4,71548,Resurgent,2025-07-31,
