CHANNEL,APP_ID,GUID,APP_DT,APP_TS,AFFILIATE_NAME,APP_STATUS,AUTOMATED_FRAUD_DECLINE_YN,MANUAL_FRAUD_DECLINE_YN
Non-API,2915686,7715bcb2-ee32-453e-bc50-677a95e75681,2025-07-23,2025-07-23T01:04:14,SFMC_ACQUISITION,Started,N,N
Non-API,2906690,d85fe1cd-82f7-4a5d-b8c0-fa30aee5a64a,2025-07-21,2025-07-21T16:20:17,,Started,N,N
Non-API,2896609,9dd3465f-f280-4165-a2c0-9f70a4ffb126,2025-07-19,2025-07-19T19:09:11,,Started,N,N
Non-API,2892155,7bd699dd-8704-4b65-a642-6797f37cb860,2025-07-18,2025-07-18T19:25:49,BING,Fraud Rejected,Y,N
Non-API,2909961,281e5d85-9437-47d1-9cd4-f161607cec5f,2025-07-22,2025-07-22T08:42:22,GOOGLE,Started,N,N
Non-API,2900694,21219ad8-91e0-438d-b4ba-1f53f4c50693,2025-07-20,2025-07-20T18:35:58,,Fraud Rejected,Y,N
Non-API,2893342,f0d343b0-a1c7-4895-a2c5-18d7b9256f4b,2025-07-19,2025-07-19T07:04:52,,Started,N,N
Non-API,2909379,aba77c40-b777-41e0-ad75-f9fcb22f5914,2025-07-22,2025-07-22T07:26:39,,Started,N,N
Non-API,2908882,c22f6d84-14a2-49bb-ba48-0667d3e364d1,2025-07-22,2025-07-22T05:53:26,,Started,N,N
Non-API,2905888,1952990d-f66b-4870-8346-f1b88a62d21d,2025-07-21,2025-07-21T14:23:57,,Started,N,N
Non-API,2889045,0f8bd644-0436-463b-b9e3-2064504a1ed2,2025-07-18,2025-07-18T10:22:48,GOOGLE,Started,N,N
Non-API,2915562,79097eed-086a-4b93-8ebd-4072d6bc048a,2025-07-22,2025-07-22T23:06:12,,Started,N,N
Non-API,2906813,bb1ace16-0be6-45b1-a77d-7cb6bb8b3061,2025-07-21,2025-07-21T16:41:45,GOOGLE,Started,N,N
Non-API,2891940,00ddf587-caf2-45af-aab4-e83eabf50dfc,2025-07-18,2025-07-18T18:27:57,,Started,N,N
Non-API,2911119,d40f0a09-3957-489b-8478-418cad77309f,2025-07-22,2025-07-22T10:50:29,,Started,N,N
Non-API,2893772,e4643cba-35a4-41c5-bc6b-ebb1c59ae01e,2025-07-19,2025-07-19T08:35:14,,Started,N,N
Non-API,2896211,c1c1bedd-0096-4ffa-8c49-8722472ecf98,2025-07-19,2025-07-19T17:13:59,GOOGLE,Fraud Rejected,Y,N
Non-API,2910650,d40ccf99-e097-419f-8dc9-db5412743f54,2025-07-22,2025-07-22T10:02:09,TU,Started,N,N
Non-API,2903152,4781dd5e-2929-49ae-9213-26331d279ae3,2025-07-21,2025-07-21T08:58:28,,Started,N,N
Non-API,2902593,5c302fc7-39b9-4688-8cd7-da8fa8e9c553,2025-07-21,2025-07-21T07:51:00,,Started,N,N
Non-API,2920728,ff162c2a-27bd-4b32-bcbd-a8636cbcadb8,2025-07-23,2025-07-23T17:13:02,TU,ICS,N,N
Non-API,2918168,e22fbbed-7b60-4dfb-8623-249384908466,2025-07-23,2025-07-23T11:06:01,,Started,N,N
Non-API,2918904,b112606d-2824-405f-a79a-5b895ec5884d,2025-07-23,2025-07-23T12:49:15,,Fraud Rejected,Y,N
Non-API,2913942,1b755092-5ebb-4e46-938c-0437675d6606,2025-07-22,2025-07-22T16:27:54,,Started,N,N
Non-API,2891863,95f8bbbe-370a-4e92-bac8-28ca0b8515fb,2025-07-18,2025-07-18T18:09:36,,Started,N,N
Non-API,2899445,feb70b1d-d3cd-4ee3-83db-63c9f60240a5,2025-07-20,2025-07-20T13:37:13,GOOGLE,Fraud Rejected,Y,N
Non-API,2897377,dda1ca96-39bb-409a-8140-76e17d2fdf82,2025-07-20,2025-07-20T04:14:51,,Started,N,N
Non-API,2917821,3a1fd120-e736-4ae6-80f7-2512ea6e6522,2025-07-23,2025-07-23T10:20:00,,Started,N,N
Non-API,2913157,07ab4bbf-2afd-4e8b-8e31-af008733a7e8,2025-07-22,2025-07-22T14:36:21,,Started,N,N
Non-API,2909452,da31de76-8f50-4549-a9aa-3c99ce06f3fe,2025-07-22,2025-07-22T07:37:49,,Started,N,N
Non-API,2888338,ca2f4dd2-a377-4274-820b-5128adb67a79,2025-07-18,2025-07-18T08:44:42,,Started,N,N
Non-API,2916595,343bec29-8324-4323-b10b-0dda0a87fda6,2025-07-23,2025-07-23T07:22:10,SFMC_ACQUISITION,Started,N,N
Non-API,2900042,7b425bcc-02e1-47fc-8201-da56445223ad,2025-07-20,2025-07-20T15:55:51,GOOGLE,Started,N,N
Non-API,2909852,83bc7817-9055-4518-93ef-891032349624,2025-07-22,2025-07-22T08:29:20,CREDITKARMA_LIGHTBOX,Started,N,N
Non-API,2915963,265e0431-dada-4c27-bc9c-ceacad8a1031,2025-07-23,2025-07-23T04:36:52,SFMC_ACQUISITION,Fraud Rejected,Y,N
Non-API,2908305,8a85c87a-7ca7-4c4b-8509-782b5e4e3483,2025-07-21,2025-07-21T23:18:00,,Started,N,N
Non-API,2914528,af8fa3fb-e160-4d6c-bb7b-ffe343b77250,2025-07-22,2025-07-22T18:03:14,,Started,N,N
Non-API,2888829,fc3f939f-1dbc-42a7-b95b-227200cc1f9c,2025-07-18,2025-07-18T09:52:28,,Started,N,N
Non-API,2891621,f4a7d4fd-0c4c-420a-a534-47a2ed952696,2025-07-18,2025-07-18T17:04:24,,Fraud Rejected,Y,N
Non-API,2921540,5a70708d-a0df-47fd-9800-11d2ede1a05d,2025-07-23,2025-07-23T19:53:14,,Started,N,N
Non-API,2921927,d1b7b492-bad9-41e3-8fa8-463cc1a9cddf,2025-07-23,2025-07-23T22:04:05,,Started,N,N
Non-API,2904887,655de507-b2ce-4d51-b602-d8a24c5f1bd8,2025-07-21,2025-07-21T12:17:40,,Fraud Rejected,Y,N
Non-API,2905000,b7947d85-488e-4884-a7ef-e7e5753bdca7,2025-07-21,2025-07-21T12:30:24,GOOGLE,Fraud Rejected,Y,N
Non-API,2893614,b18edf5c-fa50-483f-877e-4b445bea4df4,2025-07-19,2025-07-19T08:06:44,GOOGLE,Fraud Rejected,Y,N
Non-API,2895365,10019a0c-9c30-44fe-8ddc-4b441add1124,2025-07-19,2025-07-19T13:52:00,,Started,N,N
Non-API,2915410,4959abe7-36a5-412d-a0bc-38ac15d05a5d,2025-07-22,2025-07-22T21:33:53,SFMC_PIF,Started,N,N
Non-API,2896591,f5fcf7e2-16b1-49b6-bf08-9c6ac8a52010,2025-07-19,2025-07-19T19:03:54,,Started,N,N
Non-API,2894719,c65eaefd-2dea-4f7d-b2c7-8dfdf38eaad7,2025-07-19,2025-07-19T11:32:42,,Started,N,N
Non-API,2892770,c1cd8dc1-f0fb-41f9-8874-24a3bb94a666,2025-07-19,2025-07-19T02:13:31,GOOGLE,Started,N,N
Non-API,2913204,8e26db50-c621-4a36-b85d-fdd45d3de353,2025-07-22,2025-07-22T14:41:44,,Started,N,N
Non-API,2919932,b306855f-a894-49d9-813e-c4f32b8f84c3,2025-07-23,2025-07-23T15:11:42,TU,Started,N,N
Non-API,2916176,0812e600-19d3-4aa5-8ffb-5f9b84ac5a41,2025-07-23,2025-07-23T06:03:01,,Started,N,N
Non-API,2896256,005af181-d9b1-4d21-b344-2260e20de444,2025-07-19,2025-07-19T17:27:25,,Started,N,N
Non-API,2901664,57020207-a74e-4276-862c-34bcf5b38e32,2025-07-21,2025-07-21T03:12:02,,Started,N,N
Non-API,2898440,43106c81-f764-4a34-a7b7-4aa8682daf87,2025-07-20,2025-07-20T09:47:40,,Started,N,N
Non-API,2921537,8293d9af-b735-46a1-8cfa-dc79bf5b0dc8,2025-07-23,2025-07-23T19:52:41,,Fraud Rejected,Y,N
Non-API,2910053,5fc3f326-5f27-4e4f-b162-2328f82720d6,2025-07-22,2025-07-22T08:53:35,SFMC_ACQUISITION,Fraud Rejected,Y,N
Non-API,2917877,7c2fccaf-b102-4f1d-8409-4031aa85ed96,2025-07-23,2025-07-23T10:27:15,,Started,N,N
Non-API,2902748,bfc800c3-4ce6-4d06-b2f8-713c9ab38705,2025-07-21,2025-07-21T08:10:28,,Started,N,N
Non-API,2890344,c731d2d2-324a-46e8-b101-1a050bed4637,2025-07-18,2025-07-18T13:28:20,CREDITKARMA_LIGHTBOX,Started,N,N
Non-API,2919533,c09ea685-08e8-4857-ae43-04dfe32a9078,2025-07-23,2025-07-23T14:14:29,TU,Started,N,N
Non-API,2893822,06737c99-1fcf-444f-9134-0fec177c2ef2,2025-07-19,2025-07-19T08:46:40,,Withdrawn,N,N
Non-API,2887424,bca7cf28-3c30-4c5e-b0d1-35d16f4404b5,2025-07-18,2025-07-18T05:59:21,,Started,N,N
Non-API,2889580,079637ee-6b38-4ca0-9e68-01ea0dafce49,2025-07-18,2025-07-18T11:38:07,,Started,N,N
Non-API,2920538,db7db495-7cd5-4fa2-bafe-e90f18443bde,2025-07-23,2025-07-23T16:42:44,,Started,N,N
Non-API,2903750,55449c75-0763-4a75-a2eb-df5b8e3fc0b8,2025-07-21,2025-07-21T10:07:36,,Started,N,N
Non-API,2898135,4fce4897-88cd-418c-b813-f52b659c1704,2025-07-20,2025-07-20T08:37:06,,Started,N,N
Non-API,2903339,bc9f39ad-de27-4d32-97c4-08fe3aad22e0,2025-07-21,2025-07-21T09:20:22,GOOGLE,Started,N,N
Non-API,2907673,056b0c7b-cdee-46c3-bc67-3d5dc5900125,2025-07-21,2025-07-21T19:30:53,,Started,N,N
Non-API,2907205,2dcede18-0f71-4b83-845f-ba603aa8b02c,2025-07-21,2025-07-21T17:51:49,,Started,N,N
Non-API,2905705,dddb0737-de59-40f1-8a02-f37b880ea34f,2025-07-21,2025-07-21T14:02:22,,Fraud Rejected,Y,N
Non-API,2895319,ae7a5e46-711e-4c1f-9e37-675f940bb2b6,2025-07-19,2025-07-19T13:39:10,,Fraud Rejected,Y,N
Non-API,2910021,dbeeec79-76d2-49b7-871e-9713caca4364,2025-07-22,2025-07-22T08:48:27,,Started,N,N
Non-API,2914974,3678164f-2d11-48fb-97e8-bbb2fcdf6eb7,2025-07-22,2025-07-22T19:27:53,TU,Started,N,N
Non-API,2817477,5bd77049-cd88-4c6d-8000-27fc18f7abdc,2025-07-07,2025-07-07T15:42:28,,Started,N,N
Non-API,2895926,d81dd74c-f501-43ed-bfd7-baa9b02d8ca5,2025-07-19,2025-07-19T15:59:35,GOOGLE,ICS,N,N
Non-API,2891203,a0fdd192-6fc0-4943-b76d-9aa922a981b4,2025-07-18,2025-07-18T15:38:06,GOOGLE,Fraud Rejected,Y,N
Non-API,2891714,78b43e1a-a068-43e2-a27a-35ada4798771,2025-07-18,2025-07-18T17:29:37,GOOGLE,Started,N,N
Non-API,2898657,4461c2f9-050d-4bce-b03f-a77170bcabaf,2025-07-20,2025-07-20T10:32:34,BING,Started,N,N
Non-API,2903455,4d0dfad4-9f06-456b-b9a6-87709ba5fd3f,2025-07-21,2025-07-21T09:32:58,GOOGLE,Fraud Rejected,Y,N
Non-API,2901776,9323d7de-995f-47ba-aa14-9ba432dc984c,2025-07-21,2025-07-21T04:23:22,,Started,N,N
Non-API,2887877,a3d638df-2a50-4629-8809-c16cddadef48,2025-07-18,2025-07-18T07:29:55,,Started,N,N
Non-API,2898325,77cc1234-b8f7-4e16-958a-8071b2fa5009,2025-07-20,2025-07-20T09:17:58,,Started,N,N
Non-API,2887650,e2544787-c052-4217-94d4-93354a7abd6c,2025-07-18,2025-07-18T06:52:58,GOOGLE,Fraud Rejected,Y,N
Non-API,2896134,d9f5c13c-4b82-420b-a58e-45a3189f1742,2025-07-19,2025-07-19T16:53:31,,Started,N,N
Non-API,2888169,ff7b53d4-98c3-4a3a-a2da-86c7f63b27ce,2025-07-18,2025-07-18T08:21:02,,Started,N,N
Non-API,2921894,4f2fbe46-a0c4-4656-a10a-428829f8ffd1,2025-07-23,2025-07-23T21:39:28,,Started,N,N
Non-API,2910914,5f028c57-e0dd-43eb-9135-e58979cc391c,2025-07-22,2025-07-22T10:27:49,,Fraud Rejected,Y,N
Non-API,2908446,d394a8ed-0a2d-427c-bf52-99c76533fac6,2025-07-22,2025-07-22T01:47:17,,Fraud Rejected,Y,N
Non-API,2894661,102b9c95-3e45-453f-abd9-a995fc785da0,2025-07-19,2025-07-19T11:21:33,,Started,N,N
Non-API,2910602,38c431ce-f7ad-4ca5-bde0-a9bccc919154,2025-07-22,2025-07-22T09:56:32,,Started,N,N
Non-API,2906793,6552d5a2-3223-4737-8b75-b48f7e92d8ea,2025-07-21,2025-07-21T16:38:54,,Started,N,N
Non-API,2866913,37e869fb-12dd-4356-a87a-31697868c952,2025-07-15,2025-07-15T06:24:19,,Started,N,N
Non-API,2895202,99aec2fa-f4b2-4dd1-a394-e2eb357c0fc4,2025-07-19,2025-07-19T13:13:16,TU,Started,N,N
