LOAN_ID,LEGACY_LOAN_ID,LEAD_GUID,PLACEMENT_STATUS,CHARGEOFF_DATE,CHARGEOFF_PRINCIPAL_AMOUNT,SETTLEMENT_STATUS,SETTLEMENT_ACCEPTED_DATE,SETTLEMENT_COMPLETION_DATE,SETTLEMENT_AMOUNT,SETTLEMENT_AMOUNT_PAID
121113,Pbe46be13ca88,b7a11150-12ef-faaf-a089-be46be13ca88,Bounce,2024-03-13,17300.23,Complete,,,,
122119,P608f43113f91,16b9cd07-fdaa-1a36-d80e-608f43113f91,Bounce,2024-03-12,25867.52,Complete,,,,
118766,P01c40086766c,986dd25d-4f2c-fb7a-3bae-01c40086766c,Bounce,2024-03-12,5748.62,Complete,,,,
117263,Pda4485867256,5bbaf4bc-d9a1-807f-4cd4-da4485867256,Bounce,2024-03-12,22353.32,Complete,,,,
122268,Pbfca96f56886,6b0e8a5c-99ba-a4f3-369c-bfca96f56886,Bounce,2024-03-10,13860.36,Active,,,,
123527,Pa373e0a055a8,40768611-c369-4385-84ee-a373e0a055a8,Bounce,2024-03-09,5830.14,Active,,,,
114136,P00a0a52f91dd,419f789f-a8f7-fdf4-876a-00a0a52f91dd,Bounce,2024-03-07,4383.00,Complete,,,,
117080,P8581e7d40eb9,1358456a-9b82-3e48-82ff-8581e7d40eb9,Bounce,2024-02-29,26811.25,Complete,,,,
122913,Pd7a8e9a1f5f7,5f9c406c-d7c0-6795-b5b0-d7a8e9a1f5f7,Bounce,2024-02-25,19177.44,Active,,,,
123842,Pe30d5c3c6782,5eb25526-9c84-4d2b-8198-e30d5c3c6782,Bounce,2024-02-25,8034.58,Complete,,,,
121840,P4372305772d4,c3a82aab-2abe-43b1-05fb-4372305772d4,Bounce,2024-02-24,10745.87,Complete,,,,
116988,Pc89d8456f0d0,c656fb63-74f7-45f9-c96d-c89d8456f0d0,Bounce,2024-02-23,15297.62,Active,,,,
118911,P18d6c0b415d4,da5ef2e3-8424-83e7-84c7-18d6c0b415d4,Bounce,2024-02-23,3657.60,Active,,,,
114089,Pcc2fffb5524f,3464126e-8ca9-dbe9-ffc7-cc2fffb5524f,Bounce,2024-02-23,7786.13,Complete,,,,
103537,Ped0df846d4f7,be375b14-a16c-66d8-b8b0-ed0df846d4f7,Bounce,2024-02-19,9007.45,Complete,,,,
117718,Pf89c6bbefe7e,44b7c308-9e40-f3f9-a4df-f89c6bbefe7e,Bounce,2024-02-18,5601.06,Complete,,,,
105628,P79dbbfd37bc6,915e1a15-4087-91f7-b919-79dbbfd37bc6,Bounce,2024-02-15,2894.46,Complete,,,,
116460,Pc61c5d941e08,442b6052-2e61-8ec0-4976-c61c5d941e08,Bounce,2024-02-12,17414.10,Active,,,,
124982,P11b182ec2672,6043108c-6402-c8c3-64a6-11b182ec2672,Bounce,2024-02-11,13270.79,Active,,,,
117462,Paa0083beb371,c6bca3fa-cee6-de8a-a61a-aa0083beb371,Bounce,2024-02-10,19157.55,Complete,,,,
112963,Paf23b67c7896,b31c6b06-d1dc-bafb-7c33-af23b67c7896,Bounce,2024-02-05,16888.95,Active,,,,
125103,Pa67a417b0dc3,e4751a5e-0273-935c-4c6d-a67a417b0dc3,Bounce,2024-02-04,6845.78,Complete,,,,
116185,P6368f583a01f,e441b592-7c88-be88-b312-6368f583a01f,Bounce,2024-01-31,25593.36,Active,,,,
123951,Pdf06dcb9f6d9,06f442a0-3dac-4c80-a1d9-df06dcb9f6d9,Bounce,2024-01-30,8024.50,Complete,,,,
121436,P807dfe83a864,8245e745-feba-0e46-0ae2-807dfe83a864,Bounce,2024-01-27,7033.10,Complete,,,,
114194,Pdb37c131b11b,064dce76-e429-bfaa-7f37-db37c131b11b,Bounce,2024-01-27,1804.21,Active,,,,
118013,Pc6658cd6bb22,23ded413-1c50-54ce-0361-c6658cd6bb22,Bounce,2024-01-25,11908.88,Complete,,,,
105539,P555fa35675f0,b37f4244-0797-24c0-9de2-555fa35675f0,Bounce,2024-01-24,3584.06,Complete,,,,
117973,P6d043025493c,a3bbe02a-7dae-50d9-af03-6d043025493c,Bounce,2024-01-22,4637.94,Active,,,,
107166,P238FA8693361,adb1d233-283d-4d9c-a097-238fa8693361,Bounce,2024-01-21,4773.04,Active,,,,
119172,Pbbed92a6f4dc,8e915d54-0fa4-b46f-6631-bbed92a6f4dc,Bounce,2024-01-20,10351.71,Complete,,,,
115789,P158c2a885a08,77c1ee87-d7de-65b2-f998-158c2a885a08,Bounce,2024-01-19,25047.31,Active,,,,
122354,Pd0f692cc235b,b9dca5ed-2883-468d-dc89-d0f692cc235b,Bounce,2024-01-19,19574.78,Complete,,,,
121995,P7760b3d66196,a78ed6e5-aa1a-0711-cb0a-7760b3d66196,Bounce,2024-01-18,21539.54,Complete,,,,
118439,Pc6ec0c32717a,03273402-0b9c-cb68-f4a5-c6ec0c32717a,Bounce,2024-01-16,22211.10,Active,,,,
109801,Pf883f1b985c2,361d3941-98c0-0392-c0ef-f883f1b985c2,Bounce,2024-01-14,10122.36,Active,,,,
112339,P465ba0a91034,3c5f6908-8e3c-3264-080e-465ba0a91034,Bounce,2024-01-13,3842.78,Complete,,,,
122186,P2b3f8026cf90,ae26e6d2-f151-8ddf-3260-2b3f8026cf90,Bounce,2024-01-11,19208.85,Active,,,,
115451,P125bd337b142,891c8c51-4c5b-1ea8-244e-125bd337b142,Bounce,2024-01-10,6741.64,Active,,,,
107553,P078a8aaf5195,414f15df-616b-2913-7bff-078a8aaf5195,Bounce,2024-01-06,7926.68,Complete,,,,
115274,P0436c3090f3c,efbd3aaa-edce-a964-9b22-0436c3090f3c,Bounce,2024-01-06,11908.88,Active,,,,
121075,P99f000f93616,91649dc6-7046-3663-4b0d-99f000f93616,Bounce,2024-01-04,6320.48,Complete,,,,
122018,P0e28170e4dfe,9a4aa13a-d864-e30d-4d88-0e28170e4dfe,Bounce,2024-01-02,20525.37,Active,,,,
120752,P48ad24b96af5,f54981d5-587f-d791-6184-48ad24b96af5,Bounce,2024-01-01,15401.12,Complete,,,,
123230,P1c9546131edf,49ce6b7c-846d-7165-89a2-1c9546131edf,Bounce,2023-12-30,13180.56,Active,,,,
108088,Pdb0ea20cd2d5,bf407fb9-e8ae-eca2-34df-db0ea20cd2d5,Bounce,2023-12-30,14119.49,Active,,,,
110270,P3ca76f8157ce,6520e4ae-2604-6023-1294-3ca76f8157ce,Bounce,2023-12-28,12527.98,Active,,,,
122218,Pba7c4b45a402,cdc387a7-d3bd-17f3-942c-ba7c4b45a402,Bounce,2023-12-26,21228.39,Complete,,,,
122420,P73f3f0ececa9,0ff4d091-f449-3ced-470d-73f3f0ececa9,Bounce,2023-12-24,28616.55,Complete,,,,
116835,P371bdf68d8b2,6bc19465-dacc-e885-0949-371bdf68d8b2,Bounce,2023-12-24,7572.02,Complete,,,,
122898,Pe8fd4d12744d,7e17fe01-5530-4306-9e0d-e8fd4d12744d,Bounce,2023-12-23,7105.00,Complete,,,,
120761,P803c1c4bb057,762df2c3-a930-aa73-ad70-803c1c4bb057,Bounce,2023-12-23,3476.11,Complete,,,,
120626,P2a83c7bf9834,288c2df2-03ed-25b8-f425-2a83c7bf9834,Bounce,2023-12-21,6620.42,Complete,,,,
107620,Pa0039f66e643,671484ed-c023-3ac0-33b5-a0039f66e643,Bounce,2023-12-20,1623.58,Complete,,,,
110710,P80c9cb0711ce,25b4f2fa-685e-a9e7-5f26-80c9cb0711ce,Bounce,2023-12-20,8161.29,Complete,,,,
117532,P9413a1c45406,03382ff0-fd4f-d419-8704-9413a1c45406,Bounce,2023-12-18,6198.47,Active,,,,
111320,P975803372b35,690fa84e-f9bb-d3d6-eb5c-975803372b35,Bounce,2023-12-18,12542.35,Complete,,,,
114188,P73b35c97862b,6c9f64bf-28ad-5f58-4593-73b35c97862b,Bounce,2023-12-18,9360.67,Complete,,,,
115409,P49671e5bdbf0,a997abf1-b4d8-3c59-853a-49671e5bdbf0,Bounce,2023-12-15,22019.27,Complete,,,,
122771,Pf100d879d812,c7a162d3-2bc6-ea11-4366-f100d879d812,Bounce,2023-12-14,8223.52,Complete,,,,
117528,P7bbe6ce9ba2a,22bcc5af-f962-7bb3-ce22-7bbe6ce9ba2a,Bounce,2023-12-12,28757.89,Complete,,,,
122973,P0bfe80167f77,b448f5fa-2c5b-bd34-fa5e-0bfe80167f77,Bounce,2023-12-12,13589.89,Complete,,2024-12-16,,8829.00
105698,Pfa948efed70c,04686ee4-d9ab-9936-6c6f-fa948efed70c,Bounce,2023-12-10,4061.87,Complete,,,,
103506,Pc6c22995ac4d,9102c43f-f218-182c-d06f-c6c22995ac4d,Bounce,2023-12-09,1692.98,Active,,,,
117155,Pd093d062300a,5b0259d3-7470-cc80-eb50-d093d062300a,Bounce,2023-12-08,2426.91,Complete,,2024-12-13,,1577.49
111072,P5f270c31c97f,509dc35f-ca08-fed2-6e92-5f270c31c97f,Bounce,2023-12-01,1595.48,Complete,,,,
119507,Pa977f2a8aad4,eced4a05-05bb-7849-6c5b-a977f2a8aad4,Bounce,2023-12-01,7535.59,Complete,,,,
104444,P55f426f3b1ca,8f16e375-5ef4-8e66-ed39-55f426f3b1ca,Bounce,2023-12-01,2483.12,Complete,,,,
114148,P3410ae863194,43baf3c4-853a-bbc8-a268-3410ae863194,Bounce,2023-12-01,12853.19,Complete,,,,
114756,P4fb8f3f17a86,d94d12bb-ce71-ccf7-98a7-4fb8f3f17a86,Bounce,2023-11-29,2038.91,Complete,,,,
113453,P884c37d5270b,23302041-de0d-1bf5-bb8b-884c37d5270b,Bounce,2023-11-25,5935.68,Active,,,,
117068,P61c536f79906,334f10d3-992f-79e4-644a-61c536f79906,Bounce,2023-11-24,8125.91,Active,,,,
122431,Pd92c2a6383c0,5c35900f-6d2d-948b-3798-d92c2a6383c0,Bounce,2023-11-23,14420.43,Complete,,,,
120803,Pa7019a966ef5,33080d1a-22a9-cec2-a9b6-a7019a966ef5,Bounce,2023-11-22,22505.40,Complete,2024-08-19,2024-09-04,6751.62,6751.62
123307,P4f1c9ea91112,d38f0ea4-f00b-01f6-63df-4f1c9ea91112,Bounce,2023-11-19,18311.78,Complete,,,,
111383,Pd541cf4439af,d44360a9-f0ad-2433-ac8a-d541cf4439af,Bounce,2023-11-19,5128.82,Active,,,,
109417,Pa1e80ba9792c,aea645f2-6b12-3f18-1742-a1e80ba9792c,Bounce,2023-11-18,14101.64,Complete,,,4230.50,
123703,P606784971cbe,ecb58fa7-0587-bb3d-8ffa-606784971cbe,Bounce,2023-11-17,17882.65,Complete,,,,
114929,Pcf2a95f4b73a,af2fdd05-c6a3-e2e2-ed6f-cf2a95f4b73a,Bounce,2023-11-13,26451.09,Complete,2024-08-29,2024-08-30,11875.55,11875.55
118824,P39d8b28f305a,05d95408-67b9-3147-176f-39d8b28f305a,Bounce,2023-11-12,6752.38,Complete,,,,
107895,Pc2fb4f5d9979,19ac217a-c85d-8d26-c80f-c2fb4f5d9979,Bounce,2023-11-12,1881.88,Complete,,,,
83993,P92dc057a0ab1,b4db9d87-e8f1-03ac-8674-92dc057a0ab1,Bounce,2023-11-12,15974.52,Active,2025-06-03,,8785.99,
113407,P25364afd8581,bc084ad7-0706-f697-a61f-25364afd8581,Bounce,2023-11-11,3843.51,Complete,,,,
111159,P20703fb00005,0805c7e7-8b30-bc85-bdca-20703fb00005,Bounce,2023-11-11,3885.10,Active,,,,
123604,P3234820514e5,2eaf3ffd-4d49-060f-e09a-3234820514e5,Bounce,2023-11-09,10729.58,Active,,,,
115408,P8344c1f54d14,1a964bd8-c353-9c0c-29bb-8344c1f54d14,Bounce,2023-11-02,13634.68,Complete,,,,
118285,P8279e93c9022,a4c5fcdd-8cc7-0af7-5852-8279e93c9022,Bounce,2023-11-02,16663.98,Active,,,,
122065,Pb231cf226578,9335a50c-a126-349b-dceb-b231cf226578,Bounce,2023-11-02,11499.95,Complete,,,,
122093,Pb8b619144b03,0b9ed9cf-4454-6290-a6ba-b8b619144b03,Bounce,2023-11-02,10189.21,Complete,,,,
119840,Pdc7af6e35e7a,480bd282-5746-3974-1419-dc7af6e35e7a,Bounce,2023-11-01,22764.15,Active,,,,
114650,Pfb5e0c993a27,a49082a7-5e7f-d7e4-e2b4-fb5e0c993a27,Bounce,2023-10-31,3699.09,Complete,,,,
122389,P9d9b28ed23b2,cc13f831-de65-7027-71a9-9d9b28ed23b2,Bounce,2023-10-31,30270.41,Complete,2024-08-22,2024-08-26,9082.00,9082.00
110265,P05abbac5b206,ff6acfc6-365b-c54d-1ba4-05abbac5b206,Bounce,2023-10-31,6175.50,Active,,,,
114079,Pc9a33c4be4f1,c11e956b-f1bc-518e-3a6d-c9a33c4be4f1,Bounce,2023-10-30,11774.06,Complete,,2024-08-19,3480.64,3480.94
114465,P530895e3f2a6,d783448b-7c4e-90a4-0750-530895e3f2a6,Bounce,2023-10-29,21970.83,Active,,,,
119529,P386883620040,b1b46a01-3222-bf48-2cad-386883620040,Bounce,2023-10-29,25008.30,Complete,,,,
114115,Pdb08f3045ca5,ca3f9a6a-0dd4-517b-372c-db08f3045ca5,Bounce,2023-10-29,6783.77,Complete,,,,
